station id,station code,station name,station city,station synonym,station active from,station active to,station longitude,station latitude,network id,station setting id,station type id,network code,network name,station setting name,station setting short name,station type name,station street,station street nr,station zip code
1057,DENW002,Datteln-Hagem,Datteln,DATT,1986-12-01,,7.3314,51.6414,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Mozartstraße (Grünfläche Schulgelände),,45711
1061,DENW006,Lünen-Niederaden,Lünen,NIED,1981-01-02,,7.5698,51.5922,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Kreisstraße (Schule),,44532
1063,DENW008,Dortmund-Eving,Dortmund,DMD2,1988-11-01,,7.4574,51.5369,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Burgweg,,44145
1076,DENW021,Bottrop-Welheim,Bottrop,BOTT,1981-08-01,,6.9769,51.5260,10,1,2,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Industrie,Welheimer Straße (an der Schule),,46238
1079,DENW024,Essen-Vogelheim,Essen,EVOG,1985-11-01,,6.9810,51.4965,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Ecke Hafenstraße / Wildstraße,,45356
1084,DENW029,Hattingen-Blankenstein,Hattingen,HATT,1986-11-01,,7.2085,51.4030,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,An der Becke (Gewerbegebiet Zum Ludwigstal),,45527
1089,DENW034,Duisburg-Walsum,Duisburg,WALS,1981-01-02,,6.7484,51.5240,10,1,2,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Industrie,Sonnenstraße,,47179
1093,DENW038,Mülheim-Styrum,Mülheim,STYR,1979-05-01,,6.8651,51.4535,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Neustadtstraße (am Sportplatz),,45476
1095,DENW040,Duisburg-Buchholz,Duisburg,BUCH,1979-05-01,,6.7630,51.3853,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Böhmerstraße (an der Schule),,47249
1097,DENW042,Krefeld-Linn,Krefeld,KREF,1983-09-01,,6.6402,51.3377,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Hammerstraße (gegenüber Haus 52),,47809
1098,DENW043,Essen-Ost Steeler Straße,Essen,VESN,1988-12-01,,7.0305,51.4512,10,1,3,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Verkehr,Steeler Straße / Ecke Markgrafenstraße,,45138
1108,DENW053,Köln-Chorweiler,Köln,CHOR,1981-01-01,,6.8846,51.0193,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Fühlinger Weg,,50765
1113,DENW058,Hürth,Hürth,HUE2,1989-01-01,,6.8738,50.8762,10,2,2,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Industrie,Dunant-Straße (gegenüber dem Sportplatz),,50354
1114,DENW059,Köln-Rodenkirchen,Köln,RODE,1980-12-01,,6.9851,50.8899,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Friedrich-Ebert-Straße (Baumschule),,50996
1117,DENW062,Bonn-Auerberg,Bonn,,1986-12-01,,7.0826,50.7536,10,2,1,NW,Nordrhein-Westfalen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,An der Josefshöhe (neben P2 Sportplatz),,53117
1119,DENW064,Simmerath (Eifel),Simmerath,EIFE,1983-09-01,,6.2810,50.6532,10,5,1,NW,Nordrhein-Westfalen,ländlich regional,ländlich,Hintergrund,An der B399 ca. 6km von Simmerath,,52152
1120,DENW065,Netphen Rothaargebirge,Netphen,,1985-12-01,,8.1919,50.9303,10,5,1,NW,Nordrhein-Westfalen,ländlich regional,ländlich,Hintergrund,Nauholzer Weg (gegenüber Försterei Hohenroth),,57271
1121,DENW066,Nettetal-Kaldenkirchen,Nettetal,,1987-12-01,,6.1958,51.3269,10,6,1,NW,Nordrhein-Westfalen,ländlich stadtnah,ländlich,Hintergrund,Juiser Feld,,41334
1122,DENW067,Bielefeld-Ost,Bielefeld,BIEL,1989-03-01,,8.5484,52.0232,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Hermann-Delius-Straße / Ecke Bleichstraße,,33607
1123,DENW068,Soest-Ost,Soest,SOES,1989-03-01,,8.1480,51.5707,10,6,1,NW,Nordrhein-Westfalen,ländlich stadtnah,ländlich,Hintergrund,Enkesenweg,,59494
1126,DENW071,Düsseldorf-Lörick,Düsseldorf,LOER,1983-09-01,,6.7324,51.2492,10,1,1,NW,Nordrhein-Westfalen,städtisches Gebiet,städtisch,Hintergrund,Zum Niederkasseler Deich,,40547
1129,DENW074,Niederzier,Niederzier,NIZI,1991-08-01,,6.4693,50.8835,10,6,2,NW,Nordrhein-Westfalen,ländlich stadtnah,ländlich,Industrie,Treibbachstraße (am Feuerwehrgerätehaus),,52382
