beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,kundennummerHash
Betriebsleiter/in - Hotel und Gaststätten/Bachelor Professional in Hauswirtschaft,Schichtleiter m/w/d,12518-P796KD-MO6-S,Reisdorf Tankstellen - Raststätten/Tankstellen Hüttener Berge Ost/West,2026-03-01,2026-03-01T12:13:30.329,2026-03-01,https://www.hogapage.de/jobs/serviceleiter-in-alt-duvenstedt/P796KD-MO6/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24791,Alt Duvenstedt,null,Schleswig-Holstein,Deutschland,54.3578236,9.6212544,
Restaurantfachmann/-frau,Servicemitarbeiter m/w/d,12518-AJX3C9-XQW-S,Reisdorf Tankstellen - Raststätten/Tankstellen Hüttener Berge Ost/West,2026-03-01,2026-03-01T12:13:30.272,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-alt-duvenstedt/AJX3C9-XQW/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24791,Alt Duvenstedt,null,Schleswig-Holstein,Deutschland,54.3578236,9.6212544,
Betriebsleiter/in - Hotel und Gaststätten/Bachelor Professional in Hauswirtschaft,Schichtleiter m/w/d,12518-C49XSH-94A-S,Reisdorf Tankstellen - Raststätte Gudow Nord,2026-03-01,2026-03-01T12:13:30.052,2026-03-01,https://www.hogapage.de/jobs/serviceleiter-in-gudow/C49XSH-94A/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23899,"Gudow, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.5583,10.7635,
Restaurantfachmann/-frau,Servicemitarbeiter m/w/d,12518-LU6QH7-GV4-S,Reisdorf Tankstellen - Raststätte Gudow Nord,2026-03-01,2026-03-01T12:13:29.952,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-gudow/LU6QH7-GV4/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23899,"Gudow, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.5583,10.7635,
Koch/Köchin,Koch m/w/d,12518-GHPQYF-FQK-S,"Forstbaumschule, Steen GmbH",2026-03-01,2026-03-01T12:13:08.39,2026-03-01,https://www.hogapage.de/jobs/koch-in-kiel/GHPQYF-FQK/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24105,Kiel,null,Schleswig-Holstein,Deutschland,54.3378515,10.1430838,
Buchhalter/in,Bilanzbuchhalter/in (m/w/d),12518-G84YTL-3FY-S,Spielbank SH GmbH,2026-03-01,2026-03-01T12:13:06.682,2026-03-01,https://www.hogapage.de/jobs/accountantbuchhalter-in-kiel/G84YTL-3FY/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.3230917,10.1317967,
Restaurantfachmann/-frau,Spielservicemitarbeiter (w/m/d),12518-TQO7KE-6LI-S,Spielbank SH GmbH,2026-03-01,2026-03-01T12:13:06.62,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/TQO7KE-6LI/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23554,Lübeck,null,Schleswig-Holstein,Deutschland,53.8892748,10.6794718,
Küchenchef/in,Küchenchef Möwenbräu (m/w/d),12518-81PPB3-CL4-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.996,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenchef-in-weissenh%C3%A4user-strand/81PPB3-CL4/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Küchenchef/in,Küchenchef American Diner (m/w/d),12518-C8P4BU-S5B-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.935,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenchef-in-weissenh%C3%A4user-strand/C8P4BU-S5B/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Gästebetreuer/in,Crewmitglied (m/w/d) Reservierung & Empfang,12518-R7J4NT-XAG-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.875,2026-03-01,https://www.hogapage.de/jobs/hotelfachkraft-guest-relations-in-weissenh%C3%A4user-strand/R7J4NT-XAG/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Hausdame/Housekeeper,Hausdame (m/w/d) 4 - Sterne - Strandhotel,12518-JTH796-EMT-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.804,2026-03-01,https://www.hogapage.de/jobs/leitung-housekeeping-in-weissenh%C3%A4user-strand/JTH796-EMT/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Rettungsschwimmer/in,Fachangestellter für Bäderbetriebe/Rettungsschwimmer (m/w/d),12518-811613-A4F-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.741,2026-03-01,https://www.hogapage.de/jobs/rettungsschwimmer-in-weissenh%C3%A4user-strand/811613-A4F/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
