stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,['Pförtner/in'],2019,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Kaufmann/-frau - Groß- und Außenhandel (Außenhandel)']",2015,Helfer/in - Küche
ARBEIT,['Helfer/in - Metallbearbeitung'],2013,Industriemechaniker/in
ARBEIT,"['Gabelstaplerfahrer/in', 'Helfer/in - Verkauf', 'Tontechniker/in']",2013,"Helfer/in - Holz, Flechtwaren"
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Gabelstaplerfahrer/in']",2016,Helfer/in - Tiefbau
ARBEIT,['ERP-Berater/in - ERP-Consultant'],2026,Produktmanager/in
ARBEIT,['Textilreiniger/in'],2019,Polizeivollzugsbeamter/-beamtin (höherer Dienst)
ARBEIT,['Verkäufer/in'],,Verkäufer/in
ARBEIT,"['Vorarbeiter/in - Reinigung', 'Disponent/in - Güterverkehr']",,"Kaufmann/-frau - Einzelhandel (Kraftfahrzeuge, Teile und Zubehör)"
ARBEIT,['Montierer/in'],2026,Helfer/in - Metallbau
ARBEIT,"['Bankkaufmann/-frau', 'Rechtsanwalts- und Notarfachangestellte/r', 'Kaufmännische Fachkraft']",2026,Bankkaufmann/-frau
ARBEIT,['Sozialpädagogische/r Assistent/in / Kinderpfleger/in'],2025,Sozialpädagogische/r Assistent/in / Kinderpfleger/in
ARBEIT,['Vertriebsassistent/in'],2026,Studiengangkoordinator/in
ARBEIT,['Museumsaufseher/in'],2025,Versicherungskaufmann/-frau
ARBEIT,['Pförtner/in'],2023,Sozialarbeiter/in / Sozialpädagoge/-pädagogin
ARBEIT,['Helfer/in - Verkauf'],2026,Helfer/in - Verkauf
ARBEIT,['Helfer/in - Reinigung'],,Musiklehrer/in
ARBEIT,"['Helfer/in - Verkauf', 'Servicekraft - Gastronomie und Gastgewerbe', 'Helfer/in - Lagerwirtschaft, Transport']",,
ARBEIT,['Pförtner/in'],2025,Pharmakant/in
ARBEIT,['Helfer/in - Verkauf'],2026,Verkäufer/in
