beruf,titel
Sozialarbeiter/in / Sozialpädagoge/-pädagogin,Schulsozialarbeiter Ganztagesschule (Grundschule) TOP 20 Std. gern ab sofort m/w/d
Leiter/in - Maschinenanlagen,Seefahrender Ingenieur Führungs- und Waffeneinsatzsysteme (m/w/d)
Industriemechaniker/in - Maschinen- und Systemtechnik,Industriemechaniker Maschinen- und Systemtechnik (m/w/d)
Ingenieur/in - Elektrotechnik,PLC Development and Support Engineer (f/m/d)
Fachberater/in - Vertrieb,"Vertrieb Fachbereich Bauelemente (m/w/d),  Lübeck"
Projektleiter/in,Projektleiter (m/w/d) Photovoltaik
Geoinformatiker/in,Softwareentwickler - C# / .NET / Blazor / GIS (m/w/d)
Stanz- und Umformmechaniker/in,Maschineneinrichter | Umformtechnik (Mensch)
Fachberater/in - Vertrieb,"Vertrieb Fachbereich Fliesen (m/w/d), Lübeck"
Controller/in,ID: 15775 - Controllerin (m/w/d)
IT-Systemadministrator/in,ID: 15896 - IT Systemadministrator (m/w/d)
Projektleiter/in,Projektleiter (m/w/d) Anlagenbau
Fachkraft - Lagerlogistik,"Mitarbeiter Logistik/Lager (m/w/d), Flensburg"
Fachkraft - Lagerlogistik,Mitarbeiter Logistik / Lager (m/w/d) – Lübeck
Betriebsassistent/in - Handwerk,"Betriebshandwerker (m/w/d), Lübeck"
Projektleiter/in,Projektleiter (m/w/d) EMSR
Pädagoge/Pädagogin,Leitung (m/w/d) Fachabteilung Kindertagesstätten
Wartungs- und Servicetechniker/in - Maschinenbau,Servicetechniker (m/w/d) sofort
Berufskraftfahrer/in,Berufskraftfahrer regional (m/w/d) Tasdorf
Helfer/in - Ver- und Entsorgung,Ver- und Entsorgungshelfer (m/w/d) Abfallwirtschaft
Touristikmanager/in,"Projektmanager/in (m/w/d) ""Projektadministration und Gesamtkonzeption - Knowledge Hub und Evaluat..."
Touristikmanager/in,"Projektmanager/in (m/w/d) ""digitaler Nachhaltigkeitswegweiser für Destinationen ""Bedarfsanalyse"",..."
Beamter/Beamtin - Allgemeine Innere Verwaltung (gehobener nichttechnischer Dienst),"Abteilungsleitung Service und Verwaltung, FB3"
Fachkraft - Qualitätssicherung/-management,"Qualitätsmitarbeiter (m/w/d) Produktionsqualität, Bad Oldesloe"
ERP-Berater/in - ERP-Consultant,"Junior Consultant, Geniner Str. 80 in 23560 Lübeck"
Business-Analyst/in,"Projektentwickler:in EDL, Geniner Str. 80 in 23560 Lübeck"
Account-Manager/in,"Sales- und Account Manager:in, Geniner Str. 80 in 23560 Lübeck"
Glasfasermonteur/in,"Vertriebsmitarbeiter:in D2D Glasfaser, Geniner Str. 80 in 23560 Lübeck"
Mediengestalter/in Digital und Print - Gestaltung und Technik,"Projektentwickler:in Technik, Geniner Str. 80 in 23560 Lübeck"
Business-Analyst/in,"Projektentwickler:in EDL - Teilzeit, Geniner Str. 80 in 23560 Lübeck"
Techniker/in - Farb- und Lacktechnik (Anwendungs- und Betriebstechnik),"Elektroniker:in Betriebstechnik, Geniner Str. 80 in 23560 Lübeck"
Change-Manager/in,"Transformation & Change Manager (w/m/d), Ladestraße 1"
"Helfer/in - Lagerwirtschaft, Transport",Produktionsmitarbeiter (m/w/d)
Helfer/in - Metallbearbeitung,Produktionsmitarbeiter (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Sicherheitsmitarbeiter/in,Sicherheitsmitarbeiter *in Werkschutz Uetersen - übertarifliche Bezahlung m/w/d
Elektromaschinenbauer/in,Servicetechniker  (m/w/d)
Sicherheitsmitarbeiter/in,Sicherheitsmitarbeiter /in  Elmshorn (m/w/d)
Industriemechaniker/in,Monteur für Gasmotoren und Prüfstandtechnik (m/w/d)
Elektrofachkraft für festgelegte Tätigkeiten,Elektriker (m/w/d)
Fachlagerist/in,Fachlagerist (m/w/d)
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) in Weiterbildung Arbeitsmedizin
Verkäufer/in,Verkäufer (m/w/d)
Verkäufer/in,Verkäufer (m/w/d)
Sozialarbeiter/in / Sozialpädagoge/-pädagogin,"Sozialarbeiter/Sozialpädagoge (m/w/d) für die VITREA Rehaklinik Lehmrade gesucht, ca. 33 Std./Woche"
Leiter/in - Controlling,Leiter Unternehmenscontrolling (m/w/d)
Berufskraftfahrer/in,LKW-Fahrer (m/w/d) Regionaler Fernverkehr
Berufskraftfahrer/in,LKW-Fahrer (m/w/d) Nahverkehr
Pharmazeutisch-technische/r Assistent/in,PTA (m/w/d)
Catering-Manager/in,Koch/Köchin (m/w/d) - Gemeinschaftsverpflegung
Informatiker/in,Teamleiter (m/w/d) Software-Engineering in Direktvermittlung
Projektleiter/in,Projektmanager im Vertrieb (m/w/d)
Archäologe/Archäologin,Wissenschaftliche*r Mitarbeiter*in mit Zielrichtung Promotion im Subcluster Urban ROOTS
Pharmazeut/in,Wissenschaftliche*n Mitarbeiter*in mit Zielrichtung Promotion (2)
Pharmazeut/in,Wissenschaftliche*n Mitarbeiter*in mit Zielrichtung Promotion (1)
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) für die Innere Medizin und Kardiologie
Ingenieur/in - Fahrzeugtechnik,Systemarchitekt Main Battle Tank (m/w/d)
Industriekaufmann/-frau,Materialdisponent - (m/w/d) - Technologieunternehmen
Elektromechaniker/in,Elektromechaniker - (w/m/d) - Technologieunternehmen
Erzieher/in,Erzieher (m/w/d) Kita Hemdingen
Fachlagerist/in,Lagermitarbeiter (m/w/d)
"Maschinen- und Anlagenführer/in - Metall-, Kunststofftechnik",Produktionsmitarbeiter (m/w/d)
Konstruktionsmechaniker/in,"Konstruktionsmechaniker (m/w/d) ab 20,00 € / Std."
Kaufmann/-frau - Groß- und Außenhandel (Außenhandel),Auftragssachbearbeiter Aviation -  (w/m/d) - Technologieunternehmen
Industriemechaniker/in,Facharbeiter Produktion - Kleinheizer - (w/m/d) - Technologieunternehmen
Ingenieur/in - Elektrotechnik,Hardware Verification Engineer (m/w/d)
Elektrotechnikermeister/in/Bachelor Professional im Elektrotechniker-Handwerk,Direktvermittlung: Meister / Techniker Elektrotechnik (m/w/d
Facility-Manager/in,Objektleiter Facility Management (m/w/d)
Sicherheitsmitarbeiter/in,Geprüfte Schutz- und Sicherheitskraft (m/w/d) in Wedel
Industriemechaniker/in,Industriemechaniker (m/w/d) Wahlstedt
"Helfer/in - Lagerwirtschaft, Transport",Produktionshelfer (m/w/d)
Physiotherapeut/in,Physiotherapeut/in zu sofort gesucht
Informatiker/in,Site Manager (Construction) - (w/m/d)
"Gruppen-, Teamleiter/in",Teammanager Gastronomie - Warnsdorf (Mensch)
