Bundesland,Winterferien,Osterferien,Pfingstferien,Sommerferien,Herbstferien,Weihnachtsferien
Baden-Württemberg,-*,01.04.+06.04. - 10.04.,25.05. - 05.06.,29.07. - 11.09.,31.10.+02.11. - 06.11.,23.12. - 08.01.
Bayern,-*,29.03. - 10.04.,25.05. - 04.06.,30.07. - 13.09.,02.11. - 05.11.+17.11.*,24.12. - 08.01.
Berlin,01.02. - 06.02.,29.03. - 10.04.,14.05.*,24.06. - 06.08.,11.10. - 23.10.,23.12.+24.12. - 31.12.*
Brandenburg,01.02. - 06.02.,29.03. - 09.04.,-*,24.06. - 07.08.,11.10. - 23.10.,20.12. - 31.12.*
Bremen,01.02. - 02.02.,27.03. - 10.04.,14.05.+25.05.*,22.07. - 01.09.,18.10. - 30.10.,23.12. - 08.01.
Hamburg,29.01.,01.03. - 12.03.*,10.05. - 14.05.*,24.06. - 04.08.,04.10. - 15.10.,23.12. - 04.01.
Hessen,-,06.04. - 16.04.,-,19.07. - 27.08.,11.10. - 23.10.,23.12. - 08.01.
Mecklenburg-Vorpommern,06.02. - 18.02.+19.02.*,29.03. - 07.04.,14.05.+21.05. - 25.05.*,21.06. - 31.07.*,02.10. - 09.10.+01.11.+02.11.*,22.12. - 31.12.
Niedersachsen,01.02. - 02.02.,29.03. - 09.04.,14.05.+25.05.*,22.07. - 01.09.,18.10. - 29.10.,23.12. - 07.01.
Nordrhein-Westfalen,-,29.03. - 10.04.,25.05.,05.07. - 17.08.,11.10. - 23.10.,24.12. - 08.01.
Rheinland-Pfalz,-*,29.03. - 06.04.,25.05. - 02.06.,19.07. - 27.08.,11.10. - 22.10.,23.12. - 31.12.
Saarland,15.02. - 19.02.,29.03. - 07.04.,25.05. - 28.05.,19.07. - 27.08.,18.10. - 29.10.,23.12. - 03.01.
Sachsen,31.01. - 06.02.,27.03. - 10.04.,14.05.*,26.07. - 03.09.,18.10. - 30.10.,23.12. - 01.01.
Sachsen-Anhalt,08.02. - 13.02.,29.03. - 03.04.,10.05. - 22.05.,22.07. - 01.09.,25.10. - 30.10.,18.12. - 08.01.*
Schleswig-Holstein,-,01.04. - 16.04.,14.05. - 15.05.*,21.06. - 31.07.*,04.10. - 16.10.*,23.12. - 08.01.
Thüringen,25.01. - 30.01.*,29.03. - 10.04.,14.05.*,26.07. - 04.09.,25.10. - 06.11.,23.12. - 31.12.
