year,state,pm10,pm25
2016,Baden-Württemberg,15.869988545246278,
2016,Bayern,16.572327044025158,9.977704376548306
2016,Berlin,17.70812182741117,
2016,Brandenburg,15.651612903225807,9.521681997371878
2016,Bremen,14.30952380952381,8.365079365079366
2016,Hamburg,16.839506172839506,10.598958333333334
2016,Hessen,16.99163179916318,11.148936170212766
2016,Mecklenburg-Vorpommern,12.648496240601503,7.323170731707317
2016,Niedersachsen,13.349462365591398,8.89126559714795
2016,Nordrhein-Westfalen,16.558930190389844,10.764976958525345
2016,Rheinland-Pfalz,15.087483176312247,8.990846681922196
2016,Saarland,14.440816326530612,10.024390243902438
2016,Sachsen,13.86021505376344,
2016,Sachsen-Anhalt,14.266968325791856,9.089775561097257
2016,Schleswig-Holstein,13.292682926829269,6.436734693877551
2016,Thüringen,12.213225371120108,8.356589147286822
2017,Baden-Württemberg,14.240252293577981,
2017,Bayern,14.791698693312837,8.956245027844073
2017,Berlin,17.54025974025974,10.56891495601173
2017,Brandenburg,15.295081967213115,10.384868421052632
2017,Bremen,15.116438356164384,9.333333333333334
2017,Hamburg,17.263975155279503,11.686274509803921
2017,Hessen,15.123624047417444,9.580508474576272
2017,Mecklenburg-Vorpommern,14.640977443609023,8.179878048780488
2017,Niedersachsen,13.831531531531532,8.891447368421053
2017,Nordrhein-Westfalen,15.483008608971454,10.384735202492212
2017,Rheinland-Pfalz,13.401617250673855,7.92
2017,Saarland,12.891050583657588,8.69767441860465
2017,Sachsen,12.73448275862069,
2017,Sachsen-Anhalt,14.928974069898535,9.121052631578948
2017,Schleswig-Holstein,13.182320441988951,7.01304347826087
2017,Thüringen,12.10941475826972,6.865671641791045
2018,Baden-Württemberg,15.229508196721312,
2018,Bayern,16.658959537572255,10.943063352044907
2018,Berlin,17.90414507772021,9.126943005181348
2018,Brandenburg,16.5276008492569,8.50899470899471
2018,Bremen,16.12152777777778,8.476190476190476
2018,Hamburg,19.006191950464395,9.387254901960784
2018,Hessen,16.92811501597444,10.105527638190955
2018,Mecklenburg-Vorpommern,18.170731707317074,8.777777777777779
2018,Niedersachsen,14.79288888888889,9.289115646258503
2018,Nordrhein-Westfalen,18.47775718257646,11.854814814814814
2018,Rheinland-Pfalz,16.51274787535411,10.321041214750542
2018,Saarland,17.535971223021583,11.333333333333334
2018,Sachsen,16.94050343249428,
2018,Sachsen-Anhalt,16.90963855421687,10.41317365269461
2018,Schleswig-Holstein,15.186274509803921,6.396491228070175
2018,Thüringen,15.890277777777778,8.23391812865497
2019,Baden-Württemberg,14.015653220951235,7.549237170596394
2019,Bayern,13.874193548387098,8.709703287890939
2019,Berlin,16.966751918158568,8.971867007672634
2019,Brandenburg,15.33404255319149,7.848884381338743
2019,Bremen,14.615916955017301,8.023622047244094
2019,Hamburg,17.094155844155843,8.101063829787234
2019,Hessen,15.48256735340729,8.538784067085954
2019,Mecklenburg-Vorpommern,14.863636363636363,7.564685314685315
2019,Niedersachsen,13.551663747810858,7.033132530120482
2019,Nordrhein-Westfalen,17.564613246873552,11.501285347043702
2019,Rheinland-Pfalz,14.967329545454545,8.855731225296443
2019,Saarland,15.656050955414013,8.0
2019,Sachsen,13.321878579610539,
2019,Sachsen-Anhalt,14.967816091954022,8.376373626373626
2019,Schleswig-Holstein,14.74074074074074,6.7735191637630665
2019,Thüringen,12.348525469168901,6.618581907090465
2020,Baden-Württemberg,13.888238736102984,7.2339418526031105
2020,Bayern,14.318663406682967,8.750205423171733
2020,Berlin,15.055172413793104,8.26206896551724
2020,Brandenburg,12.538617886178862,6.953346855983773
2020,Bremen,16.517006802721088,9.708333333333334
2020,Hamburg,12.929230769230768,6.620689655172414
2020,Hessen,15.120472440944882,8.0
2020,Mecklenburg-Vorpommern,11.979094076655052,5.919439579684764
2020,Niedersachsen,14.172208013640239,7.416417910447761
2020,Nordrhein-Westfalen,15.569917203311867,8.31350114416476
2020,Rheinland-Pfalz,14.183783783783785,7.785571142284569
2020,Saarland,14.2375,7.875
2020,Sachsen,14.658109684947492,
2020,Sachsen-Anhalt,16.97459584295612,9.793367346938776
2020,Schleswig-Holstein,11.665036674816626,4.972549019607843
2020,Thüringen,14.520051746442432,9.204878048780488
2021,Baden-Württemberg,11.590643274853802,6.828104575163398
2021,Bayern,13.165178571428571,7.762443438914027
2021,Berlin,17.753164556962027,10.516877637130802
2021,Brandenburg,14.98828125,9.260233918128655
2021,Bremen,13.139931740614335,7.589285714285714
2021,Hamburg,16.05111821086262,9.311111111111112
2021,Hessen,11.95253164556962,6.701013513513513
2021,Mecklenburg-Vorpommern,16.466557911908644,9.307817589576548
2021,Niedersachsen,11.724226804123711,5.922388059701492
2021,Nordrhein-Westfalen,15.18342151675485,8.99273783587509
2021,Rheinland-Pfalz,12.098515519568151,7.4547244094488185
2021,Saarland,12.08125,6.9
2021,Sachsen,10.440774487471526,5.585091420534458
2021,Sachsen-Anhalt,13.38495092693566,7.256658595641646
2021,Schleswig-Holstein,13.872235872235873,6.6502732240437155
2021,Thüringen,10.457737321196358,5.639024390243902
2022,Baden-Württemberg,13.272674078408427,6.350360183366077
2022,Bayern,13.51464766429137,8.483154670750382
2022,Berlin,17.617521367521366,8.401709401709402
2022,Brandenburg,15.643426294820717,6.989738805970149
2022,Bremen,15.982758620689655,8.628048780487806
2022,Hamburg,16.887537993920972,8.532994923857869
2022,Hessen,15.512156862745098,7.243436754176611
2022,Mecklenburg-Vorpommern,13.11456628477905,5.728314238952537
2022,Niedersachsen,14.186842105263159,6.827327327327327
2022,Nordrhein-Westfalen,14.744055339386078,7.415649278579356
2022,Rheinland-Pfalz,15.131543624161074,8.630952380952381
2022,Saarland,14.337539432176657,7.486486486486487
2022,Sachsen,15.66813671444322,9.696765498652292
2022,Sachsen-Anhalt,16.478641840087622,9.252777777777778
2022,Schleswig-Holstein,12.219451371571072,4.011049723756906
2022,Thüringen,16.90721649484536,8.151712887438826
2023,Baden-Württemberg,11.790369935408103,5.917763157894737
2023,Bayern,13.279693486590038,8.350116189000774
2023,Berlin,14.03781512605042,7.727650727650728
2023,Brandenburg,12.472300469483567,6.140989729225024
2023,Bremen,11.475862068965517,6.416666666666667
2023,Hamburg,11.616766467065869,6.197115384615385
2023,Hessen,11.452399685287176,5.7983798379837985
2023,Mecklenburg-Vorpommern,11.356707317073171,6.157012195121951
2023,Niedersachsen,10.820689655172414,4.7976190476190474
2023,Nordrhein-Westfalen,12.616097766540245,6.6587628865979385
2023,Rheinland-Pfalz,11.145533141210375,6.680297397769516
2023,Saarland,10.954545454545455,5.7375
2023,Sachsen,9.94928335170893,5.510013351134846
2023,Sachsen-Anhalt,12.157205240174672,6.189583333333333
2023,Schleswig-Holstein,9.549751243781095,3.613259668508287
2023,Thüringen,10.895077720207254,5.411357340720222
2024,Baden-Württemberg,12.465182648401827,6.642085187539733
2024,Bayern,14.877955758962624,8.511060259344012
2024,Berlin,16.821969696969695,9.009469696969697
2024,Brandenburg,14.026444662095985,7.4970703125
2024,Bremen,12.31132075471698,7.48125
2024,Hamburg,14.560096153846153,7.682119205298013
2024,Hessen,13.111198738170348,7.037854889589905
2024,Mecklenburg-Vorpommern,13.952599388379205,7.448012232415902
2024,Niedersachsen,11.756828193832598,6.131277533039648
2024,Nordrhein-Westfalen,14.175787728026535,8.251047973917094
2024,Rheinland-Pfalz,12.976486860304288,7.835125448028674
2024,Saarland,11.902208201892744,7.025
2024,Sachsen,11.658706467661691,6.803636363636364
2024,Sachsen-Anhalt,13.729699666295884,6.810884353741496
2024,Schleswig-Holstein,12.10513447432763,5.191256830601093
2024,Thüringen,12.355246523388116,6.275600505689002
2025,Baden-Württemberg,13.656554092730396,7.209852847088931
2025,Bayern,13.09501187648456,8.235008103727715
2025,Berlin,15.681297709923664,8.463878326996198
2025,Brandenburg,13.265811965811967,6.827350427350427
2025,Bremen,13.633633633633634,6.504761904761905
2025,Hamburg,14.506112469437653,7.2881844380403455
2025,Hessen,13.445709946848899,6.788154897494305
2025,Mecklenburg-Vorpommern,12.96793893129771,6.912977099236641
2025,Niedersachsen,13.017035775127768,6.631175468483816
2025,Nordrhein-Westfalen,12.29740680713128,6.621066433566433
2025,Rheinland-Pfalz,15.018055555555556,8.597582037996546
2025,Saarland,13.454258675078865,7.0375
2025,Sachsen,12.121245828698553,7.015834348355664
2025,Sachsen-Anhalt,14.828125,7.085152838427947
