Bundesland,Winterferien,Osterferien,Pfingstferien,Sommerferien,Herbstferien,Weihnachtsferien
Baden-Württemberg,-*,14.04.+19.04. - 23.04.,07.06. - 18.06.,28.07. - 10.09.,31.10.+02.11. - 04.11.,21.12. - 07.01.
Bayern,28.02. - 04.03.*,11.04. - 23.04.,07.06. - 18.06.,01.08. - 12.09.,31.10. - 04.11.+16.11.*,24.12. - 07.01.
Berlin,29.01. - 05.02.,07.03.+11.04. - 23.04.*,27.05.+07.06.*,07.07. - 19.08.,24.10. - 05.11.,22.12. - 02.01.
Brandenburg,31.01. - 05.02.,11.04. - 23.04.,-*,07.07. - 20.08.,24.10. - 05.11.,22.12. - 03.01.
Bremen,31.01. - 01.02.,04.04. - 19.04.,27.05.+07.06.*,14.07. - 24.08.,17.10. - 29.10.,23.12. - 06.01.
Hamburg,28.01.,07.03. - 18.03.*,23.05. - 27.05.,07.07. - 17.08.,10.10. - 21.10.,23.12. - 06.01.
Hessen,-,11.04. - 23.04.,-,25.07. - 02.09.,24.10. - 29.10.,22.12. - 07.01.
Mecklenburg-Vorpommern,05.02. - 17.02.+18.02.*,11.04. - 20.04.,27.05.+03.06. - 07.06.*,04.07. - 13.08.,10.10. - 14.10.+01.11.+02.11.*,22.12. - 02.01.
Niedersachsen,31.01. - 01.02.,04.04. - 19.04.,27.05.+07.06.*,14.07. - 24.08.,17.10. - 28.10.,23.12. - 06.01.
Nordrhein-Westfalen,-,11.04. - 23.04.,-*,27.06. - 09.08.,04.10. - 15.10.,23.12. - 06.01.
Rheinland-Pfalz,21.02. - 25.02.,13.04. - 22.04.,-*,25.07. - 02.09.,17.10. - 31.10.,23.12. - 02.01.
Saarland,21.02. - 01.03.,14.04. - 22.04.,07.06. - 10.06.,25.07. - 02.09.,24.10. - 04.11.,22.12. - 04.01.
Sachsen,12.02. - 26.02.,15.04. - 23.04.,27.05.*,18.07. - 26.08.,17.10. - 29.10.,22.12. - 02.01.
Sachsen-Anhalt,12.02. - 19.02.,11.04. - 16.04.,23.05. - 28.05.,14.07. - 24.08.,24.10. - 04.11.,21.12. - 05.01.
Schleswig-Holstein,-,04.04. - 16.04.,27.05. - 28.05.*,04.07. - 13.08.*,10.10. - 21.10.*,23.12. - 07.01.
Thüringen,03.01.+04.01.+12.02. - 19.02.*,11.04. - 23.04.,27.05.*,18.07. - 27.08.,17.10. - 29.10.,22.12. - 03.01.
