Bundesland,start,end
Baden-Württemberg,2018-07-26,2018-09-08
Bayern,2018-07-30,2018-09-10
Berlin,2018-07-05,2018-08-17
Brandenburg,2018-07-05,2018-08-18
Bremen,2018-06-28,2018-08-08
Hamburg,2018-07-05,2018-08-15
Hessen,2018-06-25,2018-08-03
Mecklenburg-Vorpommern,2018-07-09,2018-08-18
Niedersachsen,2018-06-28,2018-08-08
Nordrhein-Westfalen,2018-07-16,2018-08-28
Rheinland-Pfalz,2018-06-25,2018-08-03
Saarland,2018-06-25,2018-08-03
Sachsen,2018-07-02,2018-08-10
Sachsen-Anhalt,2018-06-28,2018-08-08
Schleswig-Holstein,2018-07-09,2018-08-18
Thüringen,2018-07-02,2018-08-11
