station id,station code,station name,station city,station synonym,station active from,station active to,station longitude,station latitude,network id,station setting id,station type id,network code,network name,station setting name,station setting short name,station type name,station street,station street nr,station zip code
215,DEBW004,Eggenstein,Eggenstein,,1976-09-01,,8.4067,49.0766,1,6,1,BW,Baden-Württemberg,ländlich stadtnah,ländlich,Hintergrund,Gewann Zigeunerschlag,,76344
216,DEBW005,Mannheim-Nord,Mannheim,,1975-01-01,,8.4653,49.5441,1,2,2,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Industrie,Gew Steinweg,,68307
220,DEBW009,Heidelberg,Heidelberg,,1984-01-01,,8.6767,49.4195,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Ecke Berliner-/Blumenthalstr.,,69120
221,DEBW010,Wiesloch,Wiesloch,,1986-05-01,,8.7001,49.3007,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,In der Hessel,,69168
224,DEBW013,Stuttgart-Bad Cannstatt,Stuttgart,,1981-01-01,,9.2297,48.8088,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Gnesenerstr./Seuberstr.,,70374
226,DEBW015,Heilbronn,Heilbronn,,1979-11-01,,9.2248,49.1655,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Hans-Rießer-Straße,2109,74076
228,DEBW019,Ulm,Ulm,,1978-10-01,,9.9790,48.3968,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Böblingerstraße,,89077
231,DEBW022,Kehl,Kehl,,1982-02-01,,7.8023,48.5782,1,2,2,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Industrie,Rheindamm/Yachthafen,,77694
232,DEBW023,Weil am Rhein,Weil am Rhein,,1982-02-01,,7.6333,47.5882,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Zwölfthauen,3,79576
233,DEBW024,Ludwigsburg,Ludwigsburg,,1982-03-01,,9.1728,48.8992,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Weimar-/Schweizerstr.,,71636
236,DEBW027,Reutlingen,Reutlingen,,1982-02-01,,9.2073,48.4889,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,"Ebertstraße/Gelände ""Pomologie""",,72762
238,DEBW029,Aalen,Aalen,,1982-03-01,,10.0963,48.8479,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Bahnhofstraße,115,73430
240,DEBW031,Schwarzwald-Süd,Münstertal,Kälbelescheuer,1984-01-01,,7.7645,47.8099,1,5,1,BW,Baden-Württemberg,ländlich regional,ländlich,Hintergrund,Nähe Kälbelescheuer/Kl. Kaibenkopf,,79244
242,DEBW033,Pforzheim,Pforzheim,,1989-04-01,,8.6655,48.8890,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Dietlinger-/Wildbaderstr.,,75179
247,DEBW038,Friedrichshafen,Friedrichshafen,,1987-01-01,,9.4857,47.6601,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Ehlerstr./Polizeirevier,,88046
248,DEBW039,Villingen-Schwenningen,Villingen-Schwenningen,,1987-06-01,,8.4636,48.0487,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Unterer Dammweg,,78050
251,DEBW042,Bernhausen,Bernhausen,,2024-01-01,,9.2294,48.6775,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Nürtinger Straße,,70794
254,DEBW046,Biberach,Biberach,,1990-11-01,,9.8003,48.0899,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Hans-Liebherr-Straße,,88400
260,DEBW052,Konstanz,Konstanz,,1990-09-01,,9.1693,47.6644,1,1,1,BW,Baden-Württemberg,städtisches Gebiet,städtisch,Hintergrund,Zasius-/Wallgutstr.,,78462
264,DEBW056,Schwäbisch Hall,Schwäbisch Hall,,2024-06-20,,9.7332,49.1079,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Bahngelände,,74523
267,DEBW059,Tauberbischofsheim,Tauberbischofsheim,,1990-11-01,,9.6579,49.6348,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Kläranlage,,97941
276,DEBW073,Neuenburg,Neuenburg,,1992-11-01,,7.5680,47.8190,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Freiburger Str.,25 a,79395
279,DEBW076,Baden-Baden,Baden-Baden,,1993-04-22,,8.2202,48.7731,1,2,1,BW,Baden-Württemberg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Aumattstraße,,76530
