station id,station code,station name,station city,station synonym,station active from,station active to,station longitude,station latitude,network id,station setting id,station type id,network code,network name,station setting name,station setting short name,station type name,station street,station street nr,station zip code
21,DEBB021,Potsdam-Zentrum,Potsdam,PDBA,2009-04-15,,13.0602,52.4014,4,1,1,BB,Brandenburg,städtisches Gebiet,städtisch,Hintergrund,Am Bassinplatz,,14467
28,DEBB029,Schwedt (Oder),Schwedt/Oder,SWHE,1993-04-06,,14.2851,53.0643,4,2,2,BB,Brandenburg,vorstädtisches Gebiet,vorstädtisch,Industrie,Helbigstr.,,16303
31,DEBB032,Eisenhüttenstadt,Eisenhüttenstadt,EHST,1993-04-20,,14.6382,52.1463,4,2,2,BB,Brandenburg,vorstädtisches Gebiet,vorstädtisch,Industrie,Karl-Marx-Str.,35,15890
42,DEBB044,"Cottbus, Bahnhofstr.",Cottbus,COBA,2012-09-25,,14.3280,51.7566,4,1,3,BB,Brandenburg,städtisches Gebiet,städtisch,Verkehr,Bahnhofstr.,55,03046
43,DEBB045,"Frankfurt (Oder), Leipziger Str.",Frankfurt (Oder),FFLS,1995-08-01,,14.5386,52.3373,4,1,3,BB,Brandenburg,städtisches Gebiet,städtisch,Verkehr,Leipziger Str.,,15232
46,DEBB048,Neuruppin,Neuruppin,NEHA,1998-06-11,,12.8095,52.9319,4,2,1,BB,Brandenburg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Gerhart-Hauptmann-Str.,18/1,16816
47,DEBB049,"Brandenburg, Neuendorfer Str.",Brandenburg,BRNE,2013-10-15,,12.5486,52.4094,4,1,3,BB,Brandenburg,städtisches Gebiet,städtisch,Verkehr,Neuendorfer Str.,,14770
51,DEBB053,Hasenholz (Buckow),Buckow,HAHO,2000-11-21,,14.0152,52.5639,4,5,1,BB,Brandenburg,ländlich regional,ländlich,Hintergrund,Ortsteil Hasenholz,,15377
52,DEBB054,"Potsdam, Zeppelinstr.",Potsdam,,2001-03-07,,13.0375,52.3939,4,1,3,BB,Brandenburg,städtisches Gebiet,städtisch,Verkehr,Zeppelinstr.,30,14471
53,DEBB055,Brandenburg a.d. Havel,Brandenburg,,2001-10-01,,12.5523,52.4204,4,2,1,BB,Brandenburg,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Lilli-Friesicke-Str.,,14770
