station id,station code,station name,station city,station synonym,station active from,station active to,station longitude,station latitude,network id,station setting id,station type id,network code,network name,station setting name,station setting short name,station type name,station street,station street nr,station zip code
911,DENI011,Braunschweig,Braunschweig,,1978-01-01,,10.4736,52.2269,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Broitzem (Fernmeldeturm),,38122
914,DENI016,Oker/Harlingerode,Goslar,,1980-05-01,,10.4813,51.9016,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Eichenweg,61,38642
916,DENI020,Wolfsburg,Wolfsburg,,1988-02-01,,10.8164,52.4408,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Krähenhoop,,38448
922,DENI028,Eichsfeld,Duderstadt,,1986-10-09,,10.2385,51.5076,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Bostalstraße,,37115
923,DENI029,Ostfriesland,Emden,,1982-04-01,,7.2073,53.3624,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Am Eisenbahndock,,26725
924,DENI031,Jadebusen,Wilhelmshaven,,1984-06-01,,8.0906,53.5962,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Utterser Landstraße,,26388
926,DENI038,Osnabrück,Osnabrück,,1988-10-01,,8.0529,52.2553,9,1,1,NI,Niedersachsen,städtisches Gebiet,städtisch,Hintergrund,Bomblatstraße,39,49082
929,DENI041,Weserbergland,Rinteln,,1988-10-01,,9.0626,52.1702,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Detmolder Str. (Pumpwerk),,31737
930,DENI042,Göttingen,Göttingen,,1987-09-10,,9.9498,51.5511,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Nohlstraße,,37075
931,DENI043,Emsland,Lingen,,1988-10-01,,7.3175,52.4986,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Am Darmer Sportzentrum,,49809
932,DENI048,Hannover Verkehr,Hannover,,1989-07-01,,9.7155,52.3595,9,1,3,NI,Niedersachsen,städtisches Gebiet,städtisch,Verkehr,Göttinger Straße,,30449
935,DENI051,Wurmberg,Braunlage,,1991-06-06,,10.6125,51.7582,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Wurmberg,,38700
936,DENI052,Allertal,Walsrode,,1991-04-04,,9.6230,52.8294,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Auf dem Kamp,8,29664
937,DENI053,Südoldenburg,Bösel,,1991-04-03,,7.9426,52.9980,9,2,2,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Industrie,Beim Steinwitten,15,26219
938,DENI054,Hannover,Hannover,,1978-01-01,,9.7061,52.3629,9,1,1,NI,Niedersachsen,städtisches Gebiet,städtisch,Hintergrund,Am Lindener Berge,,30449
942,DENI058,Ostfries. Inseln,Norderney,,1996-02-01,,7.2140,53.7153,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Weiße Düne (Wasserwerk),2,26548
943,DENI059,Elbmündung,Cuxhaven,,1998-03-20,,8.8012,53.8302,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Wehldorfer Straße,,27478
944,DENI060,Wendland,Lüchow,,1998-04-01,,11.1671,52.9570,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Saaßer Chaussee,,29439
946,DENI062,Lüneburger Heide,Lüneburg,,1999-04-01,,10.4565,53.2470,9,2,1,NI,Niedersachsen,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Zeppelinstraße (Flugplatz),,21337
947,DENI063,Altes Land,Jork,,1999-02-11,,9.6850,53.5242,9,3,1,NI,Niedersachsen,ländliches Gebiet,ländlich,Hintergrund,Ostfeld,,21635
948,DENI066,Hildesheim Verkehr,Hildesheim,,2011-01-01,,9.9502,52.1508,9,1,3,NI,Niedersachsen,städtisches Gebiet,städtisch,Verkehr,Schuhstrasse,28,31134
949,DENI067,Osnabrück-Verkehr,Osnabrück,,2005-07-01,,8.0415,52.2703,9,1,3,NI,Niedersachsen,städtisches Gebiet,städtisch,Verkehr,Schloßwall,18,49080
