city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Berlin,3426354,52.54833,13.407822,2016-01-01,111.8181818181818,,3.4,0.4
Berlin,3426354,52.54833,13.407822,2016-01-02,44.45454545454545,,1.6,0.0
Berlin,3426354,52.54833,13.407822,2016-01-03,45.0,,-6.5,0.0
Berlin,3426354,52.54833,13.407822,2016-01-04,65.63636363636364,,-4.0,0.0
Berlin,3426354,52.54833,13.407822,2016-01-05,85.9090909090909,,-5.4,2.1
Berlin,3426354,52.54833,13.407822,2016-01-06,86.18181818181819,,-6.3,1.2
Berlin,3426354,52.54833,13.407822,2016-01-07,92.0909090909091,,-2.8,0.0
Berlin,3426354,52.54833,13.407822,2016-01-08,32.81818181818182,,3.9,3.5
Berlin,3426354,52.54833,13.407822,2016-01-09,22.545454545454547,,3.6,0.0
Berlin,3426354,52.54833,13.407822,2016-01-10,39.0,,3.9,2.5
Berlin,3426354,52.54833,13.407822,2016-01-11,22.90909090909091,,4.0,3.7
Berlin,3426354,52.54833,13.407822,2016-01-12,21.272727272727277,,3.4,7.3
Berlin,3426354,52.54833,13.407822,2016-01-13,12.818181818181818,,3.0,3.9
Berlin,3426354,52.54833,13.407822,2016-01-14,19.181818181818183,,2.5,0.4
Berlin,3426354,52.54833,13.407822,2016-01-15,34.81818181818182,,1.4,1.1
Berlin,3426354,52.54833,13.407822,2016-01-16,21.09090909090909,,0.6,0.5
Berlin,3426354,52.54833,13.407822,2016-01-17,25.454545454545453,,-0.5,3.2
Berlin,3426354,52.54833,13.407822,2016-01-18,20.0,,-3.1,0.0
Berlin,3426354,52.54833,13.407822,2016-01-19,32.0,,-3.1,0.1
Berlin,3426354,52.54833,13.407822,2016-01-20,26.363636363636363,,-0.3,0.6
Berlin,3426354,52.54833,13.407822,2016-01-21,19.0,,-1.1,0.0
Berlin,3426354,52.54833,13.407822,2016-01-22,33.90909090909091,,-2.2,0.0
Berlin,3426354,52.54833,13.407822,2016-01-23,34.81818181818182,,3.4,3.8
Berlin,3426354,52.54833,13.407822,2016-01-24,25.727272727272727,,4.0,0.2
Berlin,3426354,52.54833,13.407822,2016-01-25,22.818181818181817,,8.8,3.1
Berlin,3426354,52.54833,13.407822,2016-01-26,25.90909090909091,,9.3,0.0
Berlin,3426354,52.54833,13.407822,2016-01-27,17.636363636363637,,9.7,1.9
Berlin,3426354,52.54833,13.407822,2016-01-28,18.90909090909091,,9.4,1.7
Berlin,3426354,52.54833,13.407822,2016-01-29,20.63636363636364,,8.2,0.0
Berlin,3426354,52.54833,13.407822,2016-01-30,8.0,,8.6,5.4
Berlin,3426354,52.54833,13.407822,2016-01-31,13.636363636363637,,5.6,0.3
Berlin,3426354,52.54833,13.407822,2016-02-01,13.727272727272728,,10.1,1.9
