city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Bielefeld,331906,51.98594,8.587156,2016-01-01,53.0,,7.1,0.1
Bielefeld,331906,51.98594,8.587156,2016-01-02,17.0,,4.9,4.3
Bielefeld,331906,51.98594,8.587156,2016-01-03,28.0,,2.4,4.7
Bielefeld,331906,51.98594,8.587156,2016-01-04,41.0,,1.4,4.0
Bielefeld,331906,51.98594,8.587156,2016-01-05,58.0,,5.1,2.7
Bielefeld,331906,51.98594,8.587156,2016-01-06,92.5,,0.5,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-07,53.5,,5.2,4.9
Bielefeld,331906,51.98594,8.587156,2016-01-08,12.5,,6.0,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-09,13.0,,6.7,0.2
Bielefeld,331906,51.98594,8.587156,2016-01-10,9.0,,7.5,5.0
Bielefeld,331906,51.98594,8.587156,2016-01-11,5.0,,6.2,2.1
Bielefeld,331906,51.98594,8.587156,2016-01-12,11.5,,5.5,3.3
Bielefeld,331906,51.98594,8.587156,2016-01-13,10.5,,4.9,4.4
Bielefeld,331906,51.98594,8.587156,2016-01-14,12.0,,2.7,4.8
Bielefeld,331906,51.98594,8.587156,2016-01-15,18.0,,2.9,4.0
Bielefeld,331906,51.98594,8.587156,2016-01-16,17.5,,1.7,5.0
Bielefeld,331906,51.98594,8.587156,2016-01-17,19.0,,-1.5,0.3
Bielefeld,331906,51.98594,8.587156,2016-01-18,28.0,,-2.6,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-19,31.5,,-2.4,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-20,38.5,,0.9,2.1
Bielefeld,331906,51.98594,8.587156,2016-01-21,33.5,,-1.6,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-22,34.0,,-0.1,0.9
Bielefeld,331906,51.98594,8.587156,2016-01-23,33.5,,5.9,4.8
Bielefeld,331906,51.98594,8.587156,2016-01-24,16.0,,7.5,1.5
Bielefeld,331906,51.98594,8.587156,2016-01-25,19.0,,10.8,0.7
Bielefeld,331906,51.98594,8.587156,2016-01-26,19.5,,10.4,0.6
Bielefeld,331906,51.98594,8.587156,2016-01-27,9.5,,10.8,5.2
Bielefeld,331906,51.98594,8.587156,2016-01-28,15.0,,9.5,5.9
Bielefeld,331906,51.98594,8.587156,2016-01-29,14.5,,8.3,0.0
Bielefeld,331906,51.98594,8.587156,2016-01-30,4.5,,8.0,18.4
Bielefeld,331906,51.98594,8.587156,2016-01-31,14.0,,6.6,4.1
Bielefeld,331906,51.98594,8.587156,2016-02-01,11.5,,10.1,5.5
Bielefeld,331906,51.98594,8.587156,2016-02-02,11.5,,10.0,6.0
Bielefeld,331906,51.98594,8.587156,2016-02-03,15.5,,5.8,0.9
Bielefeld,331906,51.98594,8.587156,2016-02-04,17.5,,2.8,4.3
Bielefeld,331906,51.98594,8.587156,2016-02-05,18.0,,8.3,2.4
Bielefeld,331906,51.98594,8.587156,2016-02-06,7.0,,11.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-07,7.0,,10.7,0.2
Bielefeld,331906,51.98594,8.587156,2016-02-08,8.0,,8.5,10.7
Bielefeld,331906,51.98594,8.587156,2016-02-09,10.5,,8.7,15.4
Bielefeld,331906,51.98594,8.587156,2016-02-10,13.5,,4.6,3.7
Bielefeld,331906,51.98594,8.587156,2016-02-11,21.0,,5.6,0.5
Bielefeld,331906,51.98594,8.587156,2016-02-12,23.5,,5.8,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-13,32.5,,6.1,0.8
Bielefeld,331906,51.98594,8.587156,2016-02-14,25.0,,2.6,4.4
Bielefeld,331906,51.98594,8.587156,2016-02-15,14.0,,2.3,4.0
Bielefeld,331906,51.98594,8.587156,2016-02-16,24.0,,2.1,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-17,24.0,,2.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-18,31.5,,3.8,0.5
Bielefeld,331906,51.98594,8.587156,2016-02-19,39.5,,4.0,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-20,10.5,,8.0,8.3
Bielefeld,331906,51.98594,8.587156,2016-02-21,8.0,,10.1,18.8
Bielefeld,331906,51.98594,8.587156,2016-02-22,7.0,,9.6,16.3
Bielefeld,331906,51.98594,8.587156,2016-02-23,18.5,,6.8,1.6
Bielefeld,331906,51.98594,8.587156,2016-02-24,16.0,,4.8,0.6
Bielefeld,331906,51.98594,8.587156,2016-02-25,20.0,,4.2,0.9
Bielefeld,331906,51.98594,8.587156,2016-02-26,33.0,,4.3,0.4
Bielefeld,331906,51.98594,8.587156,2016-02-27,36.0,,5.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-28,40.5,,5.0,0.0
Bielefeld,331906,51.98594,8.587156,2016-02-29,38.0,,4.5,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-01,29.5,,3.9,3.3
Bielefeld,331906,51.98594,8.587156,2016-03-02,9.0,,6.8,3.0
Bielefeld,331906,51.98594,8.587156,2016-03-03,12.0,,6.1,1.6
Bielefeld,331906,51.98594,8.587156,2016-03-04,17.0,,5.4,3.6
Bielefeld,331906,51.98594,8.587156,2016-03-05,23.0,,4.0,3.0
Bielefeld,331906,51.98594,8.587156,2016-03-06,24.5,,6.4,0.6
Bielefeld,331906,51.98594,8.587156,2016-03-07,29.5,,5.4,0.7
Bielefeld,331906,51.98594,8.587156,2016-03-08,34.5,,5.6,0.1
Bielefeld,331906,51.98594,8.587156,2016-03-09,28.0,,8.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-10,57.0,,6.3,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-11,42.5,,4.6,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-12,27.5,,5.6,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-13,19.5,,5.6,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-14,28.5,,7.1,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-15,33.5,,6.1,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-16,25.5,,7.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-17,41.5,,10.5,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-18,30.0,,6.5,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-19,21.5,,6.3,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-20,11.5,,7.3,0.5
Bielefeld,331906,51.98594,8.587156,2016-03-21,17.0,,8.4,2.7
Bielefeld,331906,51.98594,8.587156,2016-03-22,19.0,,8.1,2.1
Bielefeld,331906,51.98594,8.587156,2016-03-23,10.0,,8.8,2.1
Bielefeld,331906,51.98594,8.587156,2016-03-24,34.5,,7.1,0.7
Bielefeld,331906,51.98594,8.587156,2016-03-25,25.5,,6.7,8.7
Bielefeld,331906,51.98594,8.587156,2016-03-26,21.0,,13.3,0.0
Bielefeld,331906,51.98594,8.587156,2016-03-27,18.0,,11.2,3.3
Bielefeld,331906,51.98594,8.587156,2016-03-28,7.5,,11.9,4.1
Bielefeld,331906,51.98594,8.587156,2016-03-29,9.0,,10.5,3.5
Bielefeld,331906,51.98594,8.587156,2016-03-30,11.5,,11.1,3.9
Bielefeld,331906,51.98594,8.587156,2016-03-31,22.0,,9.5,0.8
Bielefeld,331906,51.98594,8.587156,2016-04-01,22.5,,11.8,0.4
Bielefeld,331906,51.98594,8.587156,2016-04-02,27.5,,16.0,0.0
Bielefeld,331906,51.98594,8.587156,2016-04-03,22.0,,18.9,0.8
Bielefeld,331906,51.98594,8.587156,2016-04-04,22.0,,18.0,2.0
Bielefeld,331906,51.98594,8.587156,2016-04-05,26.5,,14.7,6.6
Bielefeld,331906,51.98594,8.587156,2016-04-06,23.0,,13.5,1.6
Bielefeld,331906,51.98594,8.587156,2016-04-07,12.5,,10.8,1.1
Bielefeld,331906,51.98594,8.587156,2016-04-08,25.0,,11.1,0.3
Bielefeld,331906,51.98594,8.587156,2016-04-09,28.5,,13.4,0.0
Bielefeld,331906,51.98594,8.587156,2016-04-10,24.0,,14.9,0.0
Bielefeld,331906,51.98594,8.587156,2016-04-11,26.5,,14.2,0.0
Bielefeld,331906,51.98594,8.587156,2016-04-12,32.0,,16.2,0.3
Bielefeld,331906,51.98594,8.587156,2016-04-13,22.5,,13.7,0.9
Bielefeld,331906,51.98594,8.587156,2016-04-14,28.5,,14.6,0.5
