city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Bremen,546501,53.04042,8.830189,2016-01-01,81.5,50.0,6.8,0.0
Bremen,546501,53.04042,8.830189,2016-01-02,26.33333333333333,21.0,5.2,0.3
Bremen,546501,53.04042,8.830189,2016-01-03,36.333333333333336,31.5,-1.7,3.4
Bremen,546501,53.04042,8.830189,2016-01-04,48.0,43.0,-3.4,1.4
Bremen,546501,53.04042,8.830189,2016-01-05,53.333333333333336,48.5,-3.8,5.6
Bremen,546501,53.04042,8.830189,2016-01-06,64.0,59.0,-5.2,0.0
Bremen,546501,53.04042,8.830189,2016-01-07,82.33333333333333,74.5,0.5,4.9
Bremen,546501,53.04042,8.830189,2016-01-08,10.666666666666666,5.5,5.6,1.2
Bremen,546501,53.04042,8.830189,2016-01-09,15.5,8.0,4.5,0.6
Bremen,546501,53.04042,8.830189,2016-01-10,11.666666666666666,8.5,7.1,5.0
Bremen,546501,53.04042,8.830189,2016-01-11,12.5,8.0,5.5,1.8
Bremen,546501,53.04042,8.830189,2016-01-12,13.5,9.0,5.9,2.7
Bremen,546501,53.04042,8.830189,2016-01-13,10.0,6.0,4.4,1.5
Bremen,546501,53.04042,8.830189,2016-01-14,16.666666666666668,8.5,2.4,5.4
Bremen,546501,53.04042,8.830189,2016-01-15,18.5,12.5,2.2,1.3
Bremen,546501,53.04042,8.830189,2016-01-16,21.0,15.5,0.8,3.5
Bremen,546501,53.04042,8.830189,2016-01-17,13.5,12.5,-1.9,0.1
Bremen,546501,53.04042,8.830189,2016-01-18,33.166666666666664,26.5,-1.7,0.0
Bremen,546501,53.04042,8.830189,2016-01-19,28.0,22.0,-1.5,0.6
Bremen,546501,53.04042,8.830189,2016-01-20,17.666666666666668,13.0,2.0,0.5
Bremen,546501,53.04042,8.830189,2016-01-21,32.666666666666664,26.0,-3.2,0.0
Bremen,546501,53.04042,8.830189,2016-01-22,32.833333333333336,27.5,-0.8,0.7
Bremen,546501,53.04042,8.830189,2016-01-23,32.5,18.0,6.3,4.3
Bremen,546501,53.04042,8.830189,2016-01-24,23.83333333333333,15.0,7.6,1.5
Bremen,546501,53.04042,8.830189,2016-01-25,22.33333333333333,11.5,10.3,0.0
Bremen,546501,53.04042,8.830189,2016-01-26,13.833333333333334,8.5,9.9,1.1
Bremen,546501,53.04042,8.830189,2016-01-27,8.5,5.5,10.9,4.9
Bremen,546501,53.04042,8.830189,2016-01-28,12.833333333333334,5.5,9.9,2.7
Bremen,546501,53.04042,8.830189,2016-01-29,13.5,6.5,9.2,0.0
Bremen,546501,53.04042,8.830189,2016-01-30,6.5,4.0,9.0,16.0
Bremen,546501,53.04042,8.830189,2016-01-31,11.5,4.5,5.9,1.0
Bremen,546501,53.04042,8.830189,2016-02-01,12.333333333333334,7.5,10.8,0.8
Bremen,546501,53.04042,8.830189,2016-02-02,14.333333333333334,6.0,9.8,0.3
Bremen,546501,53.04042,8.830189,2016-02-03,14.333333333333334,4.5,6.0,0.7
Bremen,546501,53.04042,8.830189,2016-02-04,11.833333333333334,5.0,3.8,5.2
Bremen,546501,53.04042,8.830189,2016-02-05,21.5,13.0,8.6,2.4
Bremen,546501,53.04042,8.830189,2016-02-06,9.666666666666666,7.5,10.2,0.0
Bremen,546501,53.04042,8.830189,2016-02-07,6.166666666666667,3.5,10.8,0.0
Bremen,546501,53.04042,8.830189,2016-02-08,7.166666666666667,3.0,9.1,7.2
Bremen,546501,53.04042,8.830189,2016-02-09,10.333333333333334,5.0,7.5,21.7
Bremen,546501,53.04042,8.830189,2016-02-10,13.0,6.5,5.0,4.3
