city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Darmstadt,140385,49.876976,8.608696,2016-01-01,47.0,,5.1,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-02,15.0,,3.9,7.8
Darmstadt,140385,49.876976,8.608696,2016-01-03,13.0,,6.4,0.8
Darmstadt,140385,49.876976,8.608696,2016-01-04,10.0,,6.5,7.7
Darmstadt,140385,49.876976,8.608696,2016-01-05,8.5,,5.6,5.5
Darmstadt,140385,49.876976,8.608696,2016-01-06,11.5,,5.4,2.1
Darmstadt,140385,49.876976,8.608696,2016-01-07,9.5,,6.7,5.8
Darmstadt,140385,49.876976,8.608696,2016-01-08,14.0,,6.0,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-09,25.5,,4.6,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-10,14.0,,8.2,5.7
Darmstadt,140385,49.876976,8.608696,2016-01-11,5.0,,6.0,8.1
Darmstadt,140385,49.876976,8.608696,2016-01-12,6.0,,6.3,2.9
Darmstadt,140385,49.876976,8.608696,2016-01-13,8.0,,6.0,6.0
Darmstadt,140385,49.876976,8.608696,2016-01-14,12.5,,5.4,1.2
Darmstadt,140385,49.876976,8.608696,2016-01-15,11.5,,2.5,5.7
Darmstadt,140385,49.876976,8.608696,2016-01-16,13.5,,2.7,2.2
Darmstadt,140385,49.876976,8.608696,2016-01-17,12.0,,0.3,0.9
Darmstadt,140385,49.876976,8.608696,2016-01-18,21.5,,-1.7,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-19,33.0,,-2.2,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-20,38.5,,0.9,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-21,44.5,,0.5,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-22,40.5,,1.4,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-23,24.0,,5.2,3.3
Darmstadt,140385,49.876976,8.608696,2016-01-24,18.5,,4.9,1.9
Darmstadt,140385,49.876976,8.608696,2016-01-25,22.0,,10.2,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-26,24.0,,11.6,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-27,12.0,,11.6,0.1
Darmstadt,140385,49.876976,8.608696,2016-01-28,18.0,,11.0,2.8
Darmstadt,140385,49.876976,8.608696,2016-01-29,18.0,,8.1,0.0
Darmstadt,140385,49.876976,8.608696,2016-01-30,6.5,,7.6,8.9
Darmstadt,140385,49.876976,8.608696,2016-01-31,9.5,,10.3,6.2
Darmstadt,140385,49.876976,8.608696,2016-02-01,9.5,,11.2,7.2
Darmstadt,140385,49.876976,8.608696,2016-02-02,6.0,,10.8,5.0
