city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Duisburg,504358,51.42355,6.8354435,2016-01-01,61.2,44.0,8.2,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-02,10.666666666666666,7.0,5.4,2.8
Duisburg,504358,51.42355,6.8354435,2016-01-03,8.4,4.0,8.1,5.6
Duisburg,504358,51.42355,6.8354435,2016-01-04,13.833333333333334,8.0,7.0,12.4
Duisburg,504358,51.42355,6.8354435,2016-01-05,13.8,8.0,7.1,0.3
Duisburg,504358,51.42355,6.8354435,2016-01-06,42.16666666666666,37.0,7.1,2.6
Duisburg,504358,51.42355,6.8354435,2016-01-07,11.6,7.0,7.0,7.1
Duisburg,504358,51.42355,6.8354435,2016-01-08,19.666666666666668,6.0,7.2,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-09,13.8,10.0,7.7,0.4
Duisburg,504358,51.42355,6.8354435,2016-01-10,14.333333333333334,4.0,8.6,5.6
Duisburg,504358,51.42355,6.8354435,2016-01-11,10.4,5.0,6.4,5.8
Duisburg,504358,51.42355,6.8354435,2016-01-12,14.166666666666666,5.0,6.5,1.9
Duisburg,504358,51.42355,6.8354435,2016-01-13,19.0,12.0,5.9,4.4
Duisburg,504358,51.42355,6.8354435,2016-01-14,15.166666666666666,7.0,3.2,6.5
Duisburg,504358,51.42355,6.8354435,2016-01-15,22.2,17.0,2.7,5.0
Duisburg,504358,51.42355,6.8354435,2016-01-16,19.0,14.0,3.3,2.8
Duisburg,504358,51.42355,6.8354435,2016-01-17,20.33333333333333,15.0,0.6,0.1
Duisburg,504358,51.42355,6.8354435,2016-01-18,26.33333333333333,19.0,-1.3,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-19,36.16666666666666,25.0,-0.8,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-20,53.333333333333336,36.0,2.7,0.6
Duisburg,504358,51.42355,6.8354435,2016-01-21,41.16666666666666,32.0,2.5,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-22,36.0,29.0,2.9,3.9
Duisburg,504358,51.42355,6.8354435,2016-01-23,42.66666666666666,18.0,7.8,0.5
Duisburg,504358,51.42355,6.8354435,2016-01-24,22.5,11.0,8.8,0.9
Duisburg,504358,51.42355,6.8354435,2016-01-25,17.333333333333332,10.0,12.4,0.0
Duisburg,504358,51.42355,6.8354435,2016-01-26,25.33333333333333,12.0,11.0,1.1
Duisburg,504358,51.42355,6.8354435,2016-01-27,13.833333333333334,4.0,10.9,8.0
Duisburg,504358,51.42355,6.8354435,2016-01-28,26.166666666666668,11.0,10.0,5.5
Duisburg,504358,51.42355,6.8354435,2016-01-29,22.5,5.0,8.8,0.4
Duisburg,504358,51.42355,6.8354435,2016-01-30,13.0,4.0,8.5,18.6
Duisburg,504358,51.42355,6.8354435,2016-01-31,17.5,8.0,10.3,5.4
Duisburg,504358,51.42355,6.8354435,2016-02-01,16.166666666666668,6.0,11.1,4.0
Duisburg,504358,51.42355,6.8354435,2016-02-02,16.166666666666668,6.0,10.8,5.2
Duisburg,504358,51.42355,6.8354435,2016-02-03,25.0,14.0,6.3,0.5
