city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-01,104.0,16.0,8.2,0.1
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-02,12.0,8.0,5.3,3.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-03,7.5,4.0,7.9,5.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-04,18.0,7.0,6.5,11.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-05,17.0,6.0,7.1,0.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-06,78.0,48.0,6.9,2.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-07,18.0,9.0,6.5,7.6
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-08,19.5,7.0,7.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-09,21.5,10.0,7.6,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-10,10.5,4.0,8.5,5.1
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-11,12.5,4.0,6.5,5.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-12,18.0,9.0,6.4,2.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-13,19.5,7.0,6.1,5.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-14,14.0,6.0,3.3,8.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-15,24.5,15.0,2.5,6.5
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-16,19.0,13.0,3.1,3.6
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-17,21.5,13.0,-0.2,0.1
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-18,34.5,21.0,-2.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-19,52.0,24.0,-1.6,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-20,65.5,34.0,2.3,1.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-21,55.0,31.0,1.4,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-22,47.5,26.0,2.1,3.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-23,48.5,19.0,7.4,0.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-24,18.5,9.0,8.6,0.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-25,17.5,8.0,12.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-26,28.5,13.0,11.0,1.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-27,13.0,5.0,10.9,9.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-28,22.5,8.0,9.9,6.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-29,18.5,6.0,8.7,0.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-30,8.5,4.0,8.3,19.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-01-31,15.5,7.0,10.0,5.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-01,16.5,8.0,10.9,5.5
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-02,14.0,6.0,10.7,6.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-03,21.0,9.0,6.3,0.9
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-04,20.5,10.0,4.5,4.5
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-05,22.5,11.0,9.1,2.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-06,13.5,6.0,11.4,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-07,11.0,4.0,10.2,1.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-08,10.5,4.0,9.5,12.9
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-09,15.0,7.0,9.5,16.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-10,14.5,8.0,6.0,5.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-11,32.0,16.0,6.5,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-12,17.5,9.0,6.2,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-13,28.5,17.0,6.7,3.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-14,24.5,19.0,4.0,4.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-15,14.5,11.0,3.5,5.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-16,34.0,17.0,3.0,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-17,40.0,22.0,4.0,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-18,42.5,23.0,4.9,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-19,48.5,28.0,5.2,0.9
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-20,11.5,7.0,9.6,11.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-21,6.5,5.0,10.8,5.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-22,10.5,5.0,10.0,14.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-23,19.5,10.0,7.6,2.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-24,30.0,13.0,5.8,1.1
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-25,34.0,16.0,5.1,0.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-26,40.0,19.0,5.2,0.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-27,30.0,19.0,6.7,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-28,24.5,17.0,5.6,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-02-29,33.0,23.0,5.3,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-01,45.5,23.0,4.4,5.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-02,13.0,6.0,7.4,4.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-03,21.5,9.0,6.1,2.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-04,22.5,11.0,3.9,6.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-05,35.0,16.0,4.4,2.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-06,42.0,24.0,6.3,0.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-07,40.5,20.0,5.2,1.4
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-08,48.0,24.0,6.2,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-09,23.5,14.0,8.7,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-10,50.0,32.0,8.8,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-11,59.0,43.0,8.8,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-12,32.5,23.0,7.2,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-13,19.0,14.0,8.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-14,27.5,19.0,8.0,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-15,39.5,23.0,6.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-16,26.5,17.0,7.4,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-17,47.0,30.0,10.8,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-18,45.5,24.0,6.4,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-19,24.5,10.0,6.1,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-20,16.5,6.0,7.4,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-21,25.0,9.0,9.2,1.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-22,27.0,14.0,9.9,0.9
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-23,12.0,5.0,9.3,0.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-24,44.0,22.0,9.2,1.1
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-25,26.0,16.0,8.3,9.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-26,24.5,13.0,13.7,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-27,11.5,7.0,12.5,3.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-28,8.0,3.0,12.5,4.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-29,15.0,6.0,11.5,3.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-30,18.0,9.0,11.8,5.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-03-31,21.5,10.0,9.4,1.8
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-01,24.5,14.0,12.8,0.2
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-02,23.5,14.0,16.2,0.0
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-03,24.5,16.0,19.3,0.3
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-04,23.0,11.0,15.9,0.7
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-05,29.0,15.0,13.3,3.6
Gelsenkirchen,270028,51.493847,7.1739135,2016-04-06,20.0,12.0,14.0,2.2
