city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Hamburg,1845229,53.532513,9.980879,2016-01-01,86.5,78.4,6.3,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-02,26.33333333333333,23.4,4.6,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-03,32.583333333333336,29.0,-3.9,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-04,45.27272727272727,41.2,-4.6,0.2
Hamburg,1845229,53.532513,9.980879,2016-01-05,47.81818181818182,43.0,-4.4,2.0
Hamburg,1845229,53.532513,9.980879,2016-01-06,41.333333333333336,37.2,-4.6,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-07,83.33333333333333,77.6,-2.0,1.0
Hamburg,1845229,53.532513,9.980879,2016-01-08,20.33333333333333,15.5,3.8,8.1
Hamburg,1845229,53.532513,9.980879,2016-01-09,18.166666666666668,10.8,3.3,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-10,17.272727272727273,16.0,5.2,4.8
Hamburg,1845229,53.532513,9.980879,2016-01-11,13.5,10.8,5.1,2.5
Hamburg,1845229,53.532513,9.980879,2016-01-12,17.5,14.0,5.3,3.2
Hamburg,1845229,53.532513,9.980879,2016-01-13,12.181818181818182,9.2,3.7,0.9
Hamburg,1845229,53.532513,9.980879,2016-01-14,17.4,11.25,2.5,5.3
Hamburg,1845229,53.532513,9.980879,2016-01-15,15.727272727272728,11.75,2.1,0.3
Hamburg,1845229,53.532513,9.980879,2016-01-16,22.916666666666668,19.4,1.1,1.2
Hamburg,1845229,53.532513,9.980879,2016-01-17,12.166666666666666,9.4,-1.4,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-18,25.916666666666668,20.5,-1.2,0.3
Hamburg,1845229,53.532513,9.980879,2016-01-19,29.818181818181817,24.8,-2.3,0.9
Hamburg,1845229,53.532513,9.980879,2016-01-20,18.454545454545453,15.4,0.8,0.2
Hamburg,1845229,53.532513,9.980879,2016-01-21,28.727272727272727,24.8,-2.6,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-22,30.818181818181817,27.4,-1.7,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-23,34.0,21.0,6.0,4.5
Hamburg,1845229,53.532513,9.980879,2016-01-24,24.454545454545453,16.8,6.0,0.9
Hamburg,1845229,53.532513,9.980879,2016-01-25,23.0,17.4,9.6,0.0
Hamburg,1845229,53.532513,9.980879,2016-01-26,18.63636363636364,12.4,9.3,0.7
Hamburg,1845229,53.532513,9.980879,2016-01-27,11.454545454545457,8.4,10.9,4.6
Hamburg,1845229,53.532513,9.980879,2016-01-28,15.636363636363637,6.0,9.9,2.4
