city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Heilbronn,120733,49.17399,9.230769,2016-01-01,121.0,,6.3,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-02,14.5,,4.5,8.8
Heilbronn,120733,49.17399,9.230769,2016-01-03,17.0,,7.2,1.7
Heilbronn,120733,49.17399,9.230769,2016-01-04,11.5,,6.4,7.1
Heilbronn,120733,49.17399,9.230769,2016-01-05,12.5,,6.1,3.5
Heilbronn,120733,49.17399,9.230769,2016-01-06,9.0,,5.9,1.0
Heilbronn,120733,49.17399,9.230769,2016-01-07,13.0,,6.7,5.8
Heilbronn,120733,49.17399,9.230769,2016-01-08,21.0,,7.1,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-09,36.5,,7.1,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-10,12.5,,8.5,3.6
Heilbronn,120733,49.17399,9.230769,2016-01-11,8.0,,7.0,7.7
Heilbronn,120733,49.17399,9.230769,2016-01-12,6.0,,5.9,4.4
Heilbronn,120733,49.17399,9.230769,2016-01-13,8.5,,4.8,6.7
Heilbronn,120733,49.17399,9.230769,2016-01-14,17.0,,5.9,1.6
Heilbronn,120733,49.17399,9.230769,2016-01-15,8.0,,2.1,8.2
Heilbronn,120733,49.17399,9.230769,2016-01-16,17.5,,1.7,2.0
Heilbronn,120733,49.17399,9.230769,2016-01-17,13.0,,-0.0,1.7
Heilbronn,120733,49.17399,9.230769,2016-01-18,26.0,,-1.9,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-19,39.5,,-1.6,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-20,54.5,,-0.6,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-21,46.0,,0.1,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-22,51.5,,1.3,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-23,31.0,,4.6,2.1
Heilbronn,120733,49.17399,9.230769,2016-01-24,26.0,,5.5,0.1
Heilbronn,120733,49.17399,9.230769,2016-01-25,37.5,,11.6,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-26,47.0,,13.5,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-27,34.0,,13.5,0.0
Heilbronn,120733,49.17399,9.230769,2016-01-28,17.0,,11.6,2.6
Heilbronn,120733,49.17399,9.230769,2016-01-29,24.0,,9.4,0.3
Heilbronn,120733,49.17399,9.230769,2016-01-30,12.0,,9.3,10.2
Heilbronn,120733,49.17399,9.230769,2016-01-31,7.0,,10.6,10.9
Heilbronn,120733,49.17399,9.230769,2016-02-01,8.5,,11.1,4.8
Heilbronn,120733,49.17399,9.230769,2016-02-02,9.5,,11.6,2.4
Heilbronn,120733,49.17399,9.230769,2016-02-03,10.5,,7.7,4.3
Heilbronn,120733,49.17399,9.230769,2016-02-04,10.5,,5.0,9.0
Heilbronn,120733,49.17399,9.230769,2016-02-05,23.0,,9.7,0.4
Heilbronn,120733,49.17399,9.230769,2016-02-06,33.5,,14.3,0.0
Heilbronn,120733,49.17399,9.230769,2016-02-07,17.0,,10.1,1.0
Heilbronn,120733,49.17399,9.230769,2016-02-08,9.5,,10.8,7.0
Heilbronn,120733,49.17399,9.230769,2016-02-09,7.5,,10.9,15.2
Heilbronn,120733,49.17399,9.230769,2016-02-10,7.5,,4.3,8.4
Heilbronn,120733,49.17399,9.230769,2016-02-11,18.0,,5.8,4.7
Heilbronn,120733,49.17399,9.230769,2016-02-12,22.5,,7.8,0.0
Heilbronn,120733,49.17399,9.230769,2016-02-13,16.5,,7.5,5.3
Heilbronn,120733,49.17399,9.230769,2016-02-14,6.5,,7.8,6.0
Heilbronn,120733,49.17399,9.230769,2016-02-15,18.0,,5.8,1.2
