city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Jena,104712,50.931458,11.571428,2016-01-01,58.0,,4.4,0.0
Jena,104712,50.931458,11.571428,2016-01-02,24.0,,3.2,0.0
Jena,104712,50.931458,11.571428,2016-01-03,38.0,,1.3,0.0
Jena,104712,50.931458,11.571428,2016-01-04,28.0,,1.0,4.1
Jena,104712,50.931458,11.571428,2016-01-05,58.0,,3.2,0.9
Jena,104712,50.931458,11.571428,2016-01-06,121.0,,-0.8,0.2
Jena,104712,50.931458,11.571428,2016-01-07,97.0,,4.4,1.6
Jena,104712,50.931458,11.571428,2016-01-08,9.0,,5.4,0.2
Jena,104712,50.931458,11.571428,2016-01-09,20.0,,5.5,0.0
Jena,104712,50.931458,11.571428,2016-01-10,12.0,,7.6,2.0
Jena,104712,50.931458,11.571428,2016-01-11,8.0,,5.7,7.0
Jena,104712,50.931458,11.571428,2016-01-12,5.0,,5.7,3.0
Jena,104712,50.931458,11.571428,2016-01-13,5.0,,4.0,3.7
Jena,104712,50.931458,11.571428,2016-01-14,10.0,,4.0,0.8
Jena,104712,50.931458,11.571428,2016-01-15,9.0,,2.9,2.3
Jena,104712,50.931458,11.571428,2016-01-16,16.0,,1.4,2.6
Jena,104712,50.931458,11.571428,2016-01-17,8.0,,-0.7,0.9
Jena,104712,50.931458,11.571428,2016-01-18,17.0,,-2.1,0.0
Jena,104712,50.931458,11.571428,2016-01-19,28.0,,-3.1,0.0
Jena,104712,50.931458,11.571428,2016-01-20,23.0,,0.4,2.9
Jena,104712,50.931458,11.571428,2016-01-21,24.0,,-2.1,0.0
Jena,104712,50.931458,11.571428,2016-01-22,24.0,,-1.2,0.0
Jena,104712,50.931458,11.571428,2016-01-23,20.0,,5.0,3.3
Jena,104712,50.931458,11.571428,2016-01-24,11.0,,5.4,1.3
Jena,104712,50.931458,11.571428,2016-01-25,9.0,,9.0,1.5
Jena,104712,50.931458,11.571428,2016-01-26,12.0,,10.5,0.0
Jena,104712,50.931458,11.571428,2016-01-27,7.0,,10.5,0.0
Jena,104712,50.931458,11.571428,2016-01-28,12.0,,10.1,0.8
Jena,104712,50.931458,11.571428,2016-01-29,13.0,,7.6,0.0
Jena,104712,50.931458,11.571428,2016-01-30,5.0,,8.1,6.1
Jena,104712,50.931458,11.571428,2016-01-31,7.0,,5.0,2.0
Jena,104712,50.931458,11.571428,2016-02-01,6.0,,10.8,5.2
Jena,104712,50.931458,11.571428,2016-02-02,4.0,,11.6,4.8
Jena,104712,50.931458,11.571428,2016-02-03,6.0,,6.4,0.2
Jena,104712,50.931458,11.571428,2016-02-04,7.0,,4.3,1.2
Jena,104712,50.931458,11.571428,2016-02-05,7.0,,6.9,3.7
Jena,104712,50.931458,11.571428,2016-02-06,6.0,,11.5,0.0
Jena,104712,50.931458,11.571428,2016-02-07,9.0,,13.0,0.0
Jena,104712,50.931458,11.571428,2016-02-08,6.0,,9.9,1.0
Jena,104712,50.931458,11.571428,2016-02-09,5.0,,8.2,7.3
Jena,104712,50.931458,11.571428,2016-02-10,4.0,,5.4,0.1
Jena,104712,50.931458,11.571428,2016-02-11,6.0,,6.2,0.2
Jena,104712,50.931458,11.571428,2016-02-12,14.0,,5.7,0.0
Jena,104712,50.931458,11.571428,2016-02-13,19.0,,6.0,0.2
Jena,104712,50.931458,11.571428,2016-02-14,7.0,,8.9,5.1
Jena,104712,50.931458,11.571428,2016-02-15,10.0,,5.4,0.9
Jena,104712,50.931458,11.571428,2016-02-16,10.0,,1.1,0.3
Jena,104712,50.931458,11.571428,2016-02-17,22.0,,1.6,1.7
Jena,104712,50.931458,11.571428,2016-02-18,20.0,,6.6,0.0
Jena,104712,50.931458,11.571428,2016-02-19,25.0,,4.7,0.0
Jena,104712,50.931458,11.571428,2016-02-20,9.0,,6.5,4.9
Jena,104712,50.931458,11.571428,2016-02-21,3.0,,11.0,3.6
Jena,104712,50.931458,11.571428,2016-02-22,4.0,,10.4,7.0
Jena,104712,50.931458,11.571428,2016-02-23,5.0,,5.5,5.0
Jena,104712,50.931458,11.571428,2016-02-24,8.0,,5.1,0.0
Jena,104712,50.931458,11.571428,2016-02-25,12.0,,4.4,0.1
Jena,104712,50.931458,11.571428,2016-02-26,18.0,,4.2,0.0
Jena,104712,50.931458,11.571428,2016-02-27,27.0,,5.5,0.0
Jena,104712,50.931458,11.571428,2016-02-28,44.0,,4.6,0.0
Jena,104712,50.931458,11.571428,2016-02-29,32.0,,1.2,3.6
Jena,104712,50.931458,11.571428,2016-03-01,21.0,,3.3,0.6
Jena,104712,50.931458,11.571428,2016-03-02,8.0,,7.1,2.6
Jena,104712,50.931458,11.571428,2016-03-03,10.0,,6.1,0.0
Jena,104712,50.931458,11.571428,2016-03-04,12.0,,7.5,0.0
Jena,104712,50.931458,11.571428,2016-03-05,10.0,,9.8,2.5
Jena,104712,50.931458,11.571428,2016-03-06,,,6.9,1.8
Jena,104712,50.931458,11.571428,2016-03-07,12.0,,6.2,2.4
Jena,104712,50.931458,11.571428,2016-03-08,28.0,,6.4,0.5
Jena,104712,50.931458,11.571428,2016-03-09,25.0,,8.2,0.0
Jena,104712,50.931458,11.571428,2016-03-10,60.0,,5.5,0.1
Jena,104712,50.931458,11.571428,2016-03-11,39.0,,5.4,0.4
Jena,104712,50.931458,11.571428,2016-03-12,23.0,,4.2,0.2
Jena,104712,50.931458,11.571428,2016-03-13,26.0,,3.0,0.0
Jena,104712,50.931458,11.571428,2016-03-14,24.0,,5.6,0.0
Jena,104712,50.931458,11.571428,2016-03-15,22.0,,5.6,4.0
Jena,104712,50.931458,11.571428,2016-03-16,22.0,,7.2,0.0
Jena,104712,50.931458,11.571428,2016-03-17,32.0,,11.2,0.0
