city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Neuss,152457,51.21265,6.636691,2017-01-01,,,1.9,0.0
Neuss,152457,51.21265,6.636691,2017-01-02,,,3.3,4.0
Neuss,152457,51.21265,6.636691,2017-01-03,,,3.3,1.1
Neuss,152457,51.21265,6.636691,2017-01-04,,,5.6,2.4
Neuss,152457,51.21265,6.636691,2017-01-05,,,1.3,0.5
Neuss,152457,51.21265,6.636691,2017-01-06,,,-1.1,0.0
Neuss,152457,51.21265,6.636691,2017-01-07,,,0.9,2.1
Neuss,152457,51.21265,6.636691,2017-01-08,,,4.2,0.0
Neuss,152457,51.21265,6.636691,2017-01-09,,,5.1,0.9
Neuss,152457,51.21265,6.636691,2017-01-10,,,4.9,6.6
Neuss,152457,51.21265,6.636691,2017-01-11,,,7.9,2.3
Neuss,152457,51.21265,6.636691,2017-01-12,,,6.7,7.5
Neuss,152457,51.21265,6.636691,2017-01-13,,,4.5,8.0
Neuss,152457,51.21265,6.636691,2017-01-14,,,3.5,2.4
Neuss,152457,51.21265,6.636691,2017-01-15,,,2.7,2.1
Neuss,152457,51.21265,6.636691,2017-01-16,,,1.7,0.1
Neuss,152457,51.21265,6.636691,2017-01-17,,,-0.1,0.0
Neuss,152457,51.21265,6.636691,2017-01-18,,,-0.3,0.0
Neuss,152457,51.21265,6.636691,2017-01-19,,,2.0,0.0
Neuss,152457,51.21265,6.636691,2017-01-20,,,2.7,0.0
Neuss,152457,51.21265,6.636691,2017-01-21,,,3.8,0.0
Neuss,152457,51.21265,6.636691,2017-01-22,,,1.2,0.0
Neuss,152457,51.21265,6.636691,2017-01-23,,,0.2,0.4
Neuss,152457,51.21265,6.636691,2017-01-24,,,1.9,2.3
Neuss,152457,51.21265,6.636691,2017-01-25,,,0.8,0.0
Neuss,152457,51.21265,6.636691,2017-01-26,,,2.0,0.0
Neuss,152457,51.21265,6.636691,2017-01-27,,,6.2,0.0
Neuss,152457,51.21265,6.636691,2017-01-28,,,6.9,0.4
Neuss,152457,51.21265,6.636691,2017-01-29,,,7.8,0.7
Neuss,152457,51.21265,6.636691,2017-01-30,,,7.1,7.2
Neuss,152457,51.21265,6.636691,2017-01-31,,,3.7,0.1
Neuss,152457,51.21265,6.636691,2017-02-01,,,5.4,0.3
Neuss,152457,51.21265,6.636691,2017-02-02,,,10.7,0.9
Neuss,152457,51.21265,6.636691,2017-02-03,,,11.1,3.3
Neuss,152457,51.21265,6.636691,2017-02-04,,,7.8,3.6
Neuss,152457,51.21265,6.636691,2017-02-05,,,8.0,0.3
Neuss,152457,51.21265,6.636691,2017-02-06,,,6.6,0.0
Neuss,152457,51.21265,6.636691,2017-02-07,,,5.2,5.1
Neuss,152457,51.21265,6.636691,2017-02-08,,,6.2,0.5
Neuss,152457,51.21265,6.636691,2017-02-09,,,4.2,0.0
Neuss,152457,51.21265,6.636691,2017-02-10,,,2.5,0.2
Neuss,152457,51.21265,6.636691,2017-02-11,,,4.7,3.8
Neuss,152457,51.21265,6.636691,2017-02-12,,,8.1,0.8
Neuss,152457,51.21265,6.636691,2017-02-13,,,8.4,0.0
Neuss,152457,51.21265,6.636691,2017-02-14,,,9.2,0.0
