city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-01-01,88.0,,8.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-02,14.0,,5.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-01-03,10.0,,8.0,5.6
Oberhausen,219176,51.493847,6.8478265,2016-01-04,19.0,,6.7,12.4
Oberhausen,219176,51.493847,6.8478265,2016-01-05,17.0,,7.1,0.3
Oberhausen,219176,51.493847,6.8478265,2016-01-06,71.0,,6.9,2.6
Oberhausen,219176,51.493847,6.8478265,2016-01-07,12.0,,6.8,7.1
Oberhausen,219176,51.493847,6.8478265,2016-01-08,21.0,,7.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-09,20.0,,7.5,0.4
Oberhausen,219176,51.493847,6.8478265,2016-01-10,11.0,,8.5,5.6
Oberhausen,219176,51.493847,6.8478265,2016-01-11,10.0,,6.4,5.8
Oberhausen,219176,51.493847,6.8478265,2016-01-12,16.0,,6.4,1.9
Oberhausen,219176,51.493847,6.8478265,2016-01-13,20.0,,5.9,4.4
Oberhausen,219176,51.493847,6.8478265,2016-01-14,14.0,,3.2,6.5
Oberhausen,219176,51.493847,6.8478265,2016-01-15,30.0,,2.6,5.0
Oberhausen,219176,51.493847,6.8478265,2016-01-16,21.0,,3.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-01-17,23.0,,0.3,0.1
Oberhausen,219176,51.493847,6.8478265,2016-01-18,25.0,,-1.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-19,37.0,,-0.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-20,52.0,,2.7,0.6
Oberhausen,219176,51.493847,6.8478265,2016-01-21,48.0,,2.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-22,37.0,,2.8,3.9
Oberhausen,219176,51.493847,6.8478265,2016-01-23,53.0,,7.6,0.5
Oberhausen,219176,51.493847,6.8478265,2016-01-24,20.0,,8.7,0.9
Oberhausen,219176,51.493847,6.8478265,2016-01-25,16.0,,12.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-26,27.0,,10.9,1.1
Oberhausen,219176,51.493847,6.8478265,2016-01-27,13.0,,10.8,8.0
Oberhausen,219176,51.493847,6.8478265,2016-01-28,23.0,,9.9,5.5
Oberhausen,219176,51.493847,6.8478265,2016-01-29,18.0,,8.7,0.4
Oberhausen,219176,51.493847,6.8478265,2016-01-30,11.0,,8.3,18.6
Oberhausen,219176,51.493847,6.8478265,2016-01-31,20.0,,10.0,5.4
Oberhausen,219176,51.493847,6.8478265,2016-02-01,19.0,,11.0,4.0
Oberhausen,219176,51.493847,6.8478265,2016-02-02,14.0,,10.7,5.2
Oberhausen,219176,51.493847,6.8478265,2016-02-03,21.0,,6.3,0.5
Oberhausen,219176,51.493847,6.8478265,2016-02-04,23.0,,4.8,4.0
Oberhausen,219176,51.493847,6.8478265,2016-02-05,27.0,,9.1,1.1
Oberhausen,219176,51.493847,6.8478265,2016-02-06,13.0,,11.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-07,11.0,,10.2,1.8
Oberhausen,219176,51.493847,6.8478265,2016-02-08,12.0,,9.5,12.0
Oberhausen,219176,51.493847,6.8478265,2016-02-09,16.0,,9.2,15.9
Oberhausen,219176,51.493847,6.8478265,2016-02-10,15.0,,6.2,5.4
Oberhausen,219176,51.493847,6.8478265,2016-02-11,32.0,,6.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-12,17.0,,6.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-13,28.0,,6.5,3.6
Oberhausen,219176,51.493847,6.8478265,2016-02-14,27.0,,3.7,5.7
Oberhausen,219176,51.493847,6.8478265,2016-02-15,15.0,,3.7,5.0
Oberhausen,219176,51.493847,6.8478265,2016-02-16,30.0,,3.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-17,31.0,,4.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-18,35.0,,4.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-19,47.0,,5.6,0.9
Oberhausen,219176,51.493847,6.8478265,2016-02-20,14.0,,9.6,10.6
Oberhausen,219176,51.493847,6.8478265,2016-02-21,9.0,,10.9,2.8
Oberhausen,219176,51.493847,6.8478265,2016-02-22,11.0,,10.1,13.7
Oberhausen,219176,51.493847,6.8478265,2016-02-23,21.0,,7.6,3.2
Oberhausen,219176,51.493847,6.8478265,2016-02-24,29.0,,5.9,0.9
Oberhausen,219176,51.493847,6.8478265,2016-02-25,33.0,,5.2,0.7
Oberhausen,219176,51.493847,6.8478265,2016-02-26,35.0,,5.2,0.2
Oberhausen,219176,51.493847,6.8478265,2016-02-27,29.0,,6.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-28,24.0,,5.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-29,32.0,,5.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-01,43.0,,4.4,5.5
Oberhausen,219176,51.493847,6.8478265,2016-03-02,14.0,,7.6,4.4
Oberhausen,219176,51.493847,6.8478265,2016-03-03,23.0,,6.1,1.8
Oberhausen,219176,51.493847,6.8478265,2016-03-04,25.0,,3.6,7.7
Oberhausen,219176,51.493847,6.8478265,2016-03-05,33.0,,4.4,1.5
Oberhausen,219176,51.493847,6.8478265,2016-03-06,41.0,,6.1,0.3
Oberhausen,219176,51.493847,6.8478265,2016-03-07,36.0,,5.1,2.5
Oberhausen,219176,51.493847,6.8478265,2016-03-08,44.0,,6.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-09,20.0,,8.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-10,46.0,,8.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-11,58.0,,8.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-12,30.0,,7.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-13,18.0,,8.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-14,25.0,,8.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-15,37.0,,6.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-16,22.0,,7.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-17,39.0,,10.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-18,47.0,,6.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-19,21.0,,6.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-20,20.0,,7.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-21,30.0,,9.2,0.4
Oberhausen,219176,51.493847,6.8478265,2016-03-22,30.0,,9.9,0.9
Oberhausen,219176,51.493847,6.8478265,2016-03-23,15.0,,9.3,0.2
Oberhausen,219176,51.493847,6.8478265,2016-03-24,40.0,,9.3,1.2
Oberhausen,219176,51.493847,6.8478265,2016-03-25,28.0,,8.6,8.8
Oberhausen,219176,51.493847,6.8478265,2016-03-26,27.0,,14.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-03-27,11.0,,12.5,3.7
Oberhausen,219176,51.493847,6.8478265,2016-03-28,8.0,,12.2,4.9
Oberhausen,219176,51.493847,6.8478265,2016-03-29,12.0,,11.4,2.1
Oberhausen,219176,51.493847,6.8478265,2016-03-30,16.0,,11.8,4.3
Oberhausen,219176,51.493847,6.8478265,2016-03-31,20.0,,9.5,1.4
Oberhausen,219176,51.493847,6.8478265,2016-04-01,21.0,,12.7,0.1
Oberhausen,219176,51.493847,6.8478265,2016-04-02,21.0,,15.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-03,19.0,,19.4,0.5
Oberhausen,219176,51.493847,6.8478265,2016-04-04,19.0,,15.8,0.9
Oberhausen,219176,51.493847,6.8478265,2016-04-05,31.0,,13.3,3.5
Oberhausen,219176,51.493847,6.8478265,2016-04-06,18.0,,13.7,1.7
Oberhausen,219176,51.493847,6.8478265,2016-04-07,13.0,,11.1,1.3
Oberhausen,219176,51.493847,6.8478265,2016-04-08,30.0,,11.6,1.3
Oberhausen,219176,51.493847,6.8478265,2016-04-09,26.0,,14.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-10,20.0,,15.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-11,21.0,,17.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-12,18.0,,16.7,2.4
Oberhausen,219176,51.493847,6.8478265,2016-04-13,43.0,,14.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-14,33.0,,15.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-15,13.0,,15.0,5.1
Oberhausen,219176,51.493847,6.8478265,2016-04-16,14.0,,14.1,3.9
Oberhausen,219176,51.493847,6.8478265,2016-04-17,11.0,,10.6,0.8
Oberhausen,219176,51.493847,6.8478265,2016-04-18,23.0,,12.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-19,25.0,,12.5,0.2
Oberhausen,219176,51.493847,6.8478265,2016-04-20,25.0,,12.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-21,27.0,,16.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-22,17.0,,13.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-23,12.0,,9.3,0.3
Oberhausen,219176,51.493847,6.8478265,2016-04-24,14.0,,8.3,2.2
Oberhausen,219176,51.493847,6.8478265,2016-04-25,20.0,,8.5,6.0
Oberhausen,219176,51.493847,6.8478265,2016-04-26,12.0,,8.2,3.4
Oberhausen,219176,51.493847,6.8478265,2016-04-27,15.0,,9.2,7.7
Oberhausen,219176,51.493847,6.8478265,2016-04-28,23.0,,10.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-04-29,18.0,,10.5,3.9
Oberhausen,219176,51.493847,6.8478265,2016-04-30,21.0,,11.4,3.0
Oberhausen,219176,51.493847,6.8478265,2016-05-01,13.0,,14.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-02,32.0,,18.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-03,17.0,,13.4,0.9
Oberhausen,219176,51.493847,6.8478265,2016-05-04,22.0,,14.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-05,14.0,,18.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-06,18.0,,22.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-07,18.0,,24.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-08,15.0,,23.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-09,16.0,,24.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-10,23.0,,23.4,0.5
Oberhausen,219176,51.493847,6.8478265,2016-05-11,19.0,,23.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-12,23.0,,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-13,20.0,,22.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-14,15.0,,12.0,0.7
Oberhausen,219176,51.493847,6.8478265,2016-05-15,17.0,,12.2,0.2
Oberhausen,219176,51.493847,6.8478265,2016-05-16,15.0,,12.8,0.8
Oberhausen,219176,51.493847,6.8478265,2016-05-17,29.0,,16.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-18,27.0,,18.4,3.9
Oberhausen,219176,51.493847,6.8478265,2016-05-19,22.0,,17.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-05-20,24.0,,15.5,0.2
Oberhausen,219176,51.493847,6.8478265,2016-05-21,14.0,,22.5,0.1
Oberhausen,219176,51.493847,6.8478265,2016-05-22,16.0,,21.3,17.0
Oberhausen,219176,51.493847,6.8478265,2016-05-23,12.0,,14.4,4.6
Oberhausen,219176,51.493847,6.8478265,2016-05-24,21.0,,13.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-25,35.0,,15.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-26,38.0,,20.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-27,46.0,,21.1,2.9
Oberhausen,219176,51.493847,6.8478265,2016-05-28,34.0,,22.7,1.2
Oberhausen,219176,51.493847,6.8478265,2016-05-29,27.0,,20.1,7.8
Oberhausen,219176,51.493847,6.8478265,2016-05-30,37.0,,21.1,15.0
Oberhausen,219176,51.493847,6.8478265,2016-05-31,7.0,,21.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-01,,,20.5,23.9
Oberhausen,219176,51.493847,6.8478265,2016-06-02,23.0,,23.3,4.0
Oberhausen,219176,51.493847,6.8478265,2016-06-03,43.0,,24.2,1.4
Oberhausen,219176,51.493847,6.8478265,2016-06-04,44.0,,24.6,0.3
Oberhausen,219176,51.493847,6.8478265,2016-06-05,38.0,,26.0,0.2
Oberhausen,219176,51.493847,6.8478265,2016-06-06,27.0,,26.3,0.6
Oberhausen,219176,51.493847,6.8478265,2016-06-07,34.0,,25.3,2.0
Oberhausen,219176,51.493847,6.8478265,2016-06-08,27.0,,21.0,1.4
Oberhausen,219176,51.493847,6.8478265,2016-06-09,20.0,,19.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-10,22.0,,20.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-11,24.0,,20.7,0.5
Oberhausen,219176,51.493847,6.8478265,2016-06-12,29.0,,21.1,4.1
Oberhausen,219176,51.493847,6.8478265,2016-06-13,23.0,,18.8,14.0
Oberhausen,219176,51.493847,6.8478265,2016-06-14,15.0,,19.5,1.6
Oberhausen,219176,51.493847,6.8478265,2016-06-15,14.0,,18.3,7.2
Oberhausen,219176,51.493847,6.8478265,2016-06-16,17.0,,20.2,1.3
Oberhausen,219176,51.493847,6.8478265,2016-06-17,24.0,,18.3,7.0
Oberhausen,219176,51.493847,6.8478265,2016-06-18,23.0,,18.9,8.4
Oberhausen,219176,51.493847,6.8478265,2016-06-19,21.0,,17.5,0.6
Oberhausen,219176,51.493847,6.8478265,2016-06-20,20.0,,20.5,10.0
Oberhausen,219176,51.493847,6.8478265,2016-06-21,18.0,,21.2,0.5
Oberhausen,219176,51.493847,6.8478265,2016-06-22,14.0,,25.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-23,17.0,,30.3,3.1
Oberhausen,219176,51.493847,6.8478265,2016-06-24,33.0,,25.2,14.4
Oberhausen,219176,51.493847,6.8478265,2016-06-25,33.0,,18.8,16.2
Oberhausen,219176,51.493847,6.8478265,2016-06-26,16.0,,19.3,1.1
Oberhausen,219176,51.493847,6.8478265,2016-06-27,16.0,,18.4,0.4
Oberhausen,219176,51.493847,6.8478265,2016-06-28,17.0,,21.3,0.7
Oberhausen,219176,51.493847,6.8478265,2016-06-29,14.0,,19.8,6.9
Oberhausen,219176,51.493847,6.8478265,2016-06-30,17.0,,19.7,2.4
Oberhausen,219176,51.493847,6.8478265,2016-07-01,14.0,,21.5,1.3
Oberhausen,219176,51.493847,6.8478265,2016-07-02,13.0,,18.3,5.2
Oberhausen,219176,51.493847,6.8478265,2016-07-03,14.0,,19.0,2.4
Oberhausen,219176,51.493847,6.8478265,2016-07-04,16.0,,20.2,0.7
Oberhausen,219176,51.493847,6.8478265,2016-07-05,20.0,,19.8,0.6
Oberhausen,219176,51.493847,6.8478265,2016-07-06,18.0,,19.1,0.1
Oberhausen,219176,51.493847,6.8478265,2016-07-07,18.0,,21.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-08,22.0,,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-09,20.0,,22.7,1.0
Oberhausen,219176,51.493847,6.8478265,2016-07-10,16.0,,28.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-11,15.0,,22.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-12,15.0,,21.9,1.6
Oberhausen,219176,51.493847,6.8478265,2016-07-13,17.0,,18.7,4.6
Oberhausen,219176,51.493847,6.8478265,2016-07-14,,,18.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-15,17.0,,19.1,0.5
Oberhausen,219176,51.493847,6.8478265,2016-07-16,28.0,,22.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-17,20.0,,23.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-07-18,20.0,,25.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-19,22.0,,28.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-20,21.0,,32.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-21,35.0,,27.8,0.2
Oberhausen,219176,51.493847,6.8478265,2016-07-22,28.0,,26.4,8.9
Oberhausen,219176,51.493847,6.8478265,2016-07-23,33.0,,23.3,2.3
Oberhausen,219176,51.493847,6.8478265,2016-07-24,37.0,,26.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-25,27.0,,25.1,0.9
Oberhausen,219176,51.493847,6.8478265,2016-07-26,21.0,,24.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-27,25.0,,23.1,1.3
Oberhausen,219176,51.493847,6.8478265,2016-07-28,19.0,,22.6,4.4
Oberhausen,219176,51.493847,6.8478265,2016-07-29,15.0,,22.8,0.6
Oberhausen,219176,51.493847,6.8478265,2016-07-30,14.0,,22.3,0.3
Oberhausen,219176,51.493847,6.8478265,2016-07-31,19.0,,20.3,1.9
Oberhausen,219176,51.493847,6.8478265,2016-08-01,18.0,,21.3,2.2
Oberhausen,219176,51.493847,6.8478265,2016-08-02,18.0,,17.6,13.8
Oberhausen,219176,51.493847,6.8478265,2016-08-03,10.0,,18.8,13.3
Oberhausen,219176,51.493847,6.8478265,2016-08-04,14.0,,21.1,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-05,23.0,,21.3,0.7
Oberhausen,219176,51.493847,6.8478265,2016-08-06,21.0,,20.9,0.5
Oberhausen,219176,51.493847,6.8478265,2016-08-07,13.0,,24.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-08,17.0,,20.8,1.0
Oberhausen,219176,51.493847,6.8478265,2016-08-09,16.0,,18.4,1.0
Oberhausen,219176,51.493847,6.8478265,2016-08-10,14.0,,16.9,2.4
Oberhausen,219176,51.493847,6.8478265,2016-08-11,16.0,,15.5,4.8
Oberhausen,219176,51.493847,6.8478265,2016-08-12,26.0,,22.3,0.6
Oberhausen,219176,51.493847,6.8478265,2016-08-13,21.0,,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-14,22.0,,21.9,0.1
Oberhausen,219176,51.493847,6.8478265,2016-08-15,12.0,,21.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-16,15.0,,22.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-17,15.0,,23.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-18,21.0,,24.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-19,27.0,,25.8,3.3
Oberhausen,219176,51.493847,6.8478265,2016-08-20,14.0,,22.6,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-21,13.0,,19.2,2.5
Oberhausen,219176,51.493847,6.8478265,2016-08-22,17.0,,21.3,5.6
Oberhausen,219176,51.493847,6.8478265,2016-08-23,22.0,,26.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-24,20.0,,29.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-25,18.0,,30.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-26,30.0,,31.1,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-27,23.0,,31.7,0.8
