city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Reutlingen,112627,48.541298,9.242425,2016-01-01,192.0,,7.0,0.5
Reutlingen,112627,48.541298,9.242425,2016-01-02,17.5,,6.0,9.6
Reutlingen,112627,48.541298,9.242425,2016-01-03,11.0,,6.6,1.7
Reutlingen,112627,48.541298,9.242425,2016-01-04,9.0,,5.3,7.9
Reutlingen,112627,48.541298,9.242425,2016-01-05,11.5,,5.5,6.1
Reutlingen,112627,48.541298,9.242425,2016-01-06,9.0,,4.8,2.0
Reutlingen,112627,48.541298,9.242425,2016-01-07,10.5,,5.9,5.3
Reutlingen,112627,48.541298,9.242425,2016-01-08,18.0,,7.1,1.3
Reutlingen,112627,48.541298,9.242425,2016-01-09,27.0,,7.8,2.9
Reutlingen,112627,48.541298,9.242425,2016-01-10,8.0,,7.0,6.5
Reutlingen,112627,48.541298,9.242425,2016-01-11,6.0,,7.0,8.3
Reutlingen,112627,48.541298,9.242425,2016-01-12,5.0,,4.7,7.4
Reutlingen,112627,48.541298,9.242425,2016-01-13,7.0,,3.6,4.8
Reutlingen,112627,48.541298,9.242425,2016-01-14,20.0,,4.2,1.5
Reutlingen,112627,48.541298,9.242425,2016-01-15,9.0,,1.1,10.0
Reutlingen,112627,48.541298,9.242425,2016-01-16,17.0,,0.2,2.9
Reutlingen,112627,48.541298,9.242425,2016-01-17,13.0,,-1.7,2.8
Reutlingen,112627,48.541298,9.242425,2016-01-18,22.5,,-4.0,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-19,49.0,,-0.4,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-20,45.5,,-1.9,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-21,47.0,,-0.3,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-22,46.5,,1.3,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-23,22.0,,4.1,2.0
Reutlingen,112627,48.541298,9.242425,2016-01-24,30.0,,4.7,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-25,33.0,,10.3,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-26,41.5,,13.6,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-27,37.0,,13.1,0.0
Reutlingen,112627,48.541298,9.242425,2016-01-28,25.5,,10.9,5.1
Reutlingen,112627,48.541298,9.242425,2016-01-29,21.5,,9.4,2.4
Reutlingen,112627,48.541298,9.242425,2016-01-30,11.5,,9.0,9.9
Reutlingen,112627,48.541298,9.242425,2016-01-31,5.5,,10.1,12.6
Reutlingen,112627,48.541298,9.242425,2016-02-01,12.0,,11.1,1.0
