city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Stuttgart,630305,48.822495,9.152542,2016-01-01,184.75,,7.0,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-02,18.5,,5.6,10.4
Stuttgart,630305,48.822495,9.152542,2016-01-03,15.25,,7.3,2.1
Stuttgart,630305,48.822495,9.152542,2016-01-04,11.75,,6.2,6.4
Stuttgart,630305,48.822495,9.152542,2016-01-05,11.75,,6.0,6.3
Stuttgart,630305,48.822495,9.152542,2016-01-06,9.25,,5.8,1.3
Stuttgart,630305,48.822495,9.152542,2016-01-07,14.25,,6.8,5.1
Stuttgart,630305,48.822495,9.152542,2016-01-08,23.5,,7.6,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-09,27.75,,8.2,1.0
Stuttgart,630305,48.822495,9.152542,2016-01-10,12.0,,8.2,5.0
Stuttgart,630305,48.822495,9.152542,2016-01-11,8.75,,7.3,7.0
Stuttgart,630305,48.822495,9.152542,2016-01-12,9.0,,5.5,7.4
Stuttgart,630305,48.822495,9.152542,2016-01-13,9.25,,4.2,5.6
Stuttgart,630305,48.822495,9.152542,2016-01-14,24.75,,5.4,1.2
Stuttgart,630305,48.822495,9.152542,2016-01-15,9.5,,1.8,10.9
Stuttgart,630305,48.822495,9.152542,2016-01-16,20.5,,1.1,2.4
Stuttgart,630305,48.822495,9.152542,2016-01-17,13.25,,-0.7,2.8
Stuttgart,630305,48.822495,9.152542,2016-01-18,40.0,,-2.9,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-19,72.25,,-0.7,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-20,65.25,,-0.9,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-21,51.25,,0.1,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-22,57.75,,1.6,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-23,33.75,,4.6,1.7
Stuttgart,630305,48.822495,9.152542,2016-01-24,28.75,,6.3,0.5
Stuttgart,630305,48.822495,9.152542,2016-01-25,43.75,,12.4,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-26,62.25,,14.3,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-27,47.0,,13.7,0.0
Stuttgart,630305,48.822495,9.152542,2016-01-28,31.75,,11.6,4.3
Stuttgart,630305,48.822495,9.152542,2016-01-29,21.75,,9.8,2.0
Stuttgart,630305,48.822495,9.152542,2016-01-30,15.0,,9.4,11.0
Stuttgart,630305,48.822495,9.152542,2016-01-31,9.5,,10.6,9.7
