city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-01-01,8.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-02,5.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-01-03,8.0,5.6
Oberhausen,219176,51.493847,6.8478265,2016-01-04,6.7,12.4
Oberhausen,219176,51.493847,6.8478265,2016-01-05,7.1,0.3
Oberhausen,219176,51.493847,6.8478265,2016-01-06,6.9,2.6
Oberhausen,219176,51.493847,6.8478265,2016-01-07,6.8,7.1
Oberhausen,219176,51.493847,6.8478265,2016-01-08,7.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-09,7.5,0.4
Oberhausen,219176,51.493847,6.8478265,2016-01-10,8.5,5.6
Oberhausen,219176,51.493847,6.8478265,2016-01-11,6.4,5.8
Oberhausen,219176,51.493847,6.8478265,2016-01-12,6.4,1.9
Oberhausen,219176,51.493847,6.8478265,2016-01-13,5.9,4.4
Oberhausen,219176,51.493847,6.8478265,2016-01-14,3.2,6.5
Oberhausen,219176,51.493847,6.8478265,2016-01-15,2.6,5.0
Oberhausen,219176,51.493847,6.8478265,2016-01-16,3.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-01-17,0.3,0.1
Oberhausen,219176,51.493847,6.8478265,2016-01-18,-1.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-19,-0.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-20,2.7,0.6
Oberhausen,219176,51.493847,6.8478265,2016-01-21,2.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-22,2.8,3.9
Oberhausen,219176,51.493847,6.8478265,2016-01-23,7.6,0.5
Oberhausen,219176,51.493847,6.8478265,2016-01-24,8.7,0.9
Oberhausen,219176,51.493847,6.8478265,2016-01-25,12.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-01-26,10.9,1.1
Oberhausen,219176,51.493847,6.8478265,2016-01-27,10.8,8.0
Oberhausen,219176,51.493847,6.8478265,2016-01-28,9.9,5.5
Oberhausen,219176,51.493847,6.8478265,2016-01-29,8.7,0.4
Oberhausen,219176,51.493847,6.8478265,2016-01-30,8.3,18.6
Oberhausen,219176,51.493847,6.8478265,2016-01-31,10.0,5.4
Oberhausen,219176,51.493847,6.8478265,2016-02-01,11.0,4.0
Oberhausen,219176,51.493847,6.8478265,2016-02-02,10.7,5.2
Oberhausen,219176,51.493847,6.8478265,2016-02-03,6.3,0.5
Oberhausen,219176,51.493847,6.8478265,2016-02-04,4.8,4.0
Oberhausen,219176,51.493847,6.8478265,2016-02-05,9.1,1.1
Oberhausen,219176,51.493847,6.8478265,2016-02-06,11.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-07,10.2,1.8
Oberhausen,219176,51.493847,6.8478265,2016-02-08,9.5,12.0
Oberhausen,219176,51.493847,6.8478265,2016-02-09,9.2,15.9
Oberhausen,219176,51.493847,6.8478265,2016-02-10,6.2,5.4
Oberhausen,219176,51.493847,6.8478265,2016-02-11,6.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-12,6.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-02-13,6.5,3.6
Oberhausen,219176,51.493847,6.8478265,2016-02-14,3.7,5.7
