beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,arbeitsort.ortsteil,externeUrl
Fachinformatiker/in - Systemintegration,Fachinformatiker Systemintegration (m/w/d),10001-1002668920-S,NConsult GmbH,2026-02-26,2026-02-26T08:51:46.333,2026-02-26,,Berlin,null,Berlin,Deutschland,52.5112613,13.4255145,,
Fachinformatiker/in - Systemintegration,Junior IT-Administrator (m/w/d),10001-1002668890-S,NConsult GmbH,2026-02-26,2026-02-26T08:49:38.098,2026-02-26,,Berlin,null,Berlin,Deutschland,52.5112613,13.4255145,,
IT-Administrator/in,IT-Administrator (m/w/d),10001-1002668867-S,NConsult GmbH,2026-02-26,2026-02-26T08:47:45.586,2026-02-26,,Berlin,null,Berlin,Deutschland,52.5112613,13.4255145,,
Fachinformatiker/in - Systemintegration,Senior IT-ADMINISTRATOR (m/w/d),10001-1002668843-S,NConsult GmbH,2026-02-26,2026-02-26T08:45:43.656,2026-02-26,,Berlin,null,Berlin,Deutschland,52.5112613,13.4255145,,
Koch/Köchin,Commis de Cuisine (d/w/m) Vollaziet - 12727,10001-1002678734-S,SV (Deutschland) GmbH,2026-02-27,2026-02-27T10:23:46.076,2026-02-27,10243,Berlin,An der Schillingsbrücke 2,Berlin,Deutschland,52.509861,13.429593,,
Elektroniker/in - Energie- und Gebäudetechnik,Technischer Leiter (d/w/m) - 13167,10001-1002677789-S,SV (Deutschland) GmbH,2026-02-27,2026-02-27T10:12:35.57,2026-02-27,10243,Berlin,An der Schillingsbrücke 2,Berlin,Deutschland,52.509861,13.429593,,
Leiter/in - Informations-/Cybersicherheit,Referent/-in für Grundsatzangelegenheiten Informationssicherheit /  Notfallmanagement in der Abteilu,14795-64046_116197-S,"Senatsverwaltung f. Mobilität, Verkehr, Klimaschutz und Umwelt",2026-02-27,2026-02-27T11:01:32.823,2026-02-27,10179,Berlin,null,Berlin,Deutschland,52.5132279,13.4157237,,
Medizinische/r Fachangestellte/r,Medizinische Fachangestellte MFA (m/w/d) bis 24 EUR Bruttostundenlohn,18248-L1KIVQJ6BZ7HRJLY-S,Med-Spezialisten GmbH,2026-02-27,2026-02-27T10:58:02.724,2026-02-27,10179,Berlin,null,Berlin,Deutschland,52.5132279,13.4157237,,
Marketingfachkraft/-assistent/in,B2B Event Marketing Manager (f/m/d),13635-61eee016_JB5080629-S,SPREAD GmbH,2026-02-27,2026-02-27T10:55:57.487,2026-02-27,10179,Berlin,null,Berlin,Deutschland,52.5132279,13.4157237,,https://www.jobexport.de/job/5080629.html?exp=81&cid=61eee016-437c-40a2-a9a4-a6146577cdfc
"Barmixer/in, Barkeeper/in",Aushilfe Bar (m/w/d),12518-KBMC0B-SRC-S,Motel One Berlin - Hackescher Markt,2026-02-27,2026-02-27T07:02:14.718,2026-03-15,10179,Berlin,null,Berlin,Deutschland,52.5132279,13.4157237,,https://www.hogapage.de/jobs/barkeeper-in-berlin/KBMC0B-SRC/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
